Problem Name	00intro2	13ABDE	14FIRE	15LEAF	16ROFL	17JKLM	18ABC	19SPIN	20LAND	21SKW	22EVO	23NEAT	24MILKCUKI	25FROG	26GHI	27SALT	28RHOM
%(Ans2d_hint1)%	-	"Did you know that parallel sides on a parallelogram have the SAME length? Knowing this, how would you find the length of ED?"	-	-	-	-	-	-	-	-	-	A perimeter is the sum of the lengths of all the sides of a geometry.	Enter the length of the parallelogram CUKI's height here. Not sure which segment that is? What is the label of the height segment?	x	-	-	"Do you know how to find an area of the parallelogram? If you are not sure, try finding the formula in the glossary."
%(Ans2d_hint2)%	-	"All parallelograms have a rule where two opposite sides are always parallel, and always have the same length! That means ED is parallel AND have the same length to which side?"	-	-	-	-	-	-	-	-	-	"<%=ifThen(hasValue(question1a,question1b),""You are only given the lengths of 2 sides this time: NT and NE. But did you know that parallel sides on a parallelogram have the equal length? That means you already know the lengths of two other sides, EA and AT."",""Are you sure you are ready to answer this part?"")%>"	"Take a look at the diagram label of this column, or under ""Height of CUKI"". What is the name or the label of the segment that represents the height?"	x	-	-	"Open the glossary and search for ""Area - Parallelogram"". "
%(Ans2d_hint3)%	-	"ED is the side opposite of AB, the side adjacent to the base. This means ED and AB are parallel to each other. Therefore, ED and AB have the equal length! "	-	-	-	-	-	-	-	-	-	"<%=ifThen(hasValue(question1a,question1b),""NT and EA are both 5.5, and EN and AT are both 9 cm. You can either do 5.5 + 9 + 5.5 + 9 or the faster way, (5.5 + 9) * 2."",""In order to figure out the perimeter, you must know the lengths of at least 1 base and 1 side adjacent to the base.  Have you filled in lengths for NT and NE?"")%>"	"The label under ""Height of CUKI"" is UV. Do you remember how long the segment UV is? Read the problem statement again if you forgot. "	x	-	-	"The area (A) of the parallelogram RHOM can be found using the formula: A = b * h, which means Area = ""base"" * ""height"". What is the length of the base? What is the length of the height?"
%(Ans2d_hint4)%	-	AB's length is 14 cm. Therefore ED's length is 14 cm too! Enter 14 in the highlighted area.	-	-	-	-	-	-	-	-	-	"<%=ifThen(hasValue(question1a,question1b),""The perimeter of parallelogram NEAT is (5.5 + 9) * 2 = 33."",""Fill in the lengths of NT and NE, then come back to this field!"")%>"	The height (UV) is 10 milimeters long.	x	-	-	"<%=ifThen(hasValue(question1a,question1b),concat(""All you have to do is multiply the length of the base ("",question0a,"" = 24) by the height (NM = 17). Therefore, A = 24 * 17!""),""Uh oh, you cannot figure out the area without the lengths of the base and the height! Come back to this field after you find their lengths!"")%>"
%(Ans2e_hint1)%	-	A perimeter is the sum of the lengths of all sides on a geometry.	-	-	-	-	-	-	-	-	-	"Do you know how to find an area of the parallelogram? If you are not sure, try finding the formula in the glossary. "	Enter the value of parallelogram's area here. It is given in the statement for Question1.	"Open the glossary and search for ""Area - Parallelogram"" if you are not sure how to find area of a parallelogram."	-	-	-
%(Ans2e_hint2)%	-	"<%=ifThen(hasValue(question1a,question1b,question1c,question1d),""Add up the lengths of all the sides you've found for the parallelogram ABDE. That's all of the lengths you entered in this row."",""Are you sure you are ready to answer this part?"")%>"	-	-	-	-	-	-	-	-	-	"Open the glossary and search for ""Area - Parallelogram"". "	"Here is a quick tip about recognizing a value of an area; look at the value's unit. If the unit is squared, like ""square milimeters"", it is likely that it is describing an area. Do you see such value in the statement for Question1? "	"The area (A) of the paralleogram FROG can be found using the formula: A = b * h, which means Area = ""base"" * ""height"". You know the lengths of both of the 2 bases in this question. Which height should you use to find the area of FROG?"	-	-	-
%(Ans2e_hint3)%	-	"<%=ifThen(hasValue(question1a,question1b,question1c,question1d),""AE and BD are both S cm. AB and ED are both T cm. You can either do 6 + 14 + 6 + 14 or the faster way, (6 + 14) * 2."",""In order to figure out the perimeter of the parallelogram, you must the lengths of at least 1 base and 1 adjacent side. But in this problem, please fill the lengths of all 4 sides of ABDE!"")%>"	-	-	-	-	-	-	-	-	-	"The area (A) of the parallelogram NEAT can be found using the formula: A = b * h, which means Area = ""base"" * ""height"". What is the length of the base? What is the length of the height?"	"5400 sq. mm is the value of the area. Note that it's unit is ""sq. mm"" instead of just ""mm""."	"<%=ifThen(hasValue(question1a,question1b),""You only know the length of one height, height #1 (AG). That means you must use the base perpendicular to AG to calculate the area!"",""Are you sure you are ready to do this part?"")%>"	-	-	-
%(Ans2e_hint4)%	-	"<%=ifThen(hasValue(question1a,question1b,question1c,question1d),""The perimeter of the parallelogram ABDE is (6 + 14) * 2 = 40."",""Fill in the lengths of all sides and come back to this field!"")%>"	-	-	-	-	-	-	-	-	-	"<%=ifThen(hasValue(question1a,question1c),concat(""All you have to do is multiply the length of the base ("",question0a,"" = 5.5) by the height (MN = 6). Therefore, A = 5.5 * 6!""),""Uh oh, you cannot figure out the area without the lengths of the base and the height! Come back to this field after you find their lengths!"")%>"	"Enter the area of parallelogram MILK and CUKI 's area, 5400."	"<%=ifThen(hasValue(question1a,question1b),concat(""FR is base #1, which is perpendicular to height #1, AG. Multiply the lengths of base #1 and height #1 together to get the area. A = 27 * 9.5.""),""Looks like you are missing some lengths you need to know in order to calculate the area. Fill in the rest of this row and come back to this field!"")%>"	-	-	-

%(Ans3a_hint1)%	-	-	Write an expression that represents the length of the base into the highlighted field.	-	"Enter the length of the parallelogram's base here. Not sure which segment that is the base? What is the label under ""Base of ROFL""?"	"<%=ifThen(hasValue(question0a),""Enter the length of the parallelogram's base here. You entered the correct label for the base, so enter that segment's length here."",""Enter the length of the parallelogram's base here."")%>"	-	"On a parallelogram, ANY side can be a ""base"" as long as it is perpendicular to a height. But in this case, you should choose a base that is perpendicular to a height with a known length! "	"Did you know? On a parallelogram, ANY side can be a ""base"" as long as it is perpendicular to a height. But since you want to calculate LAND's area, it is better to choose a side with a known length. "	-	-	Enter the length of the parallelogram's base here. Not sure which segment is the base? What is the label of the base segment?	"<%=ifThen(hasValue(question0a),""Enter the length of the parallelogram MILK's base here. You entered the correct label for the base, so enter that segment's length here."",""Enter the length of the parallelogram MILK's base here."")%>"	x	-	"<%=ifThen(hasValue(question0a),""Enter the length of the parallelogram's base here. You entered the correct label for the base, so enter that segment's length here."",""Enter the length of the parallelogram's base here."")%>"	-
%(Ans3a_hint2)%	-	-	You have been told to use a specific letter for the base. Which letter is this? Read the problem statement again if you don't remember.	-	"The label given under ""Base of ROFL"" is unfortunately RO, which is NOT given in Question2, but don't worry, a pair of parallel sides on a parallelogram always have the same length! "	"<%=ifThen(hasValue(question0a),concat(""The base you chose is "",question0a,"". How long is this? Is the length given in the question statement?""),""You have not entered the label for your base yet. If you don't know which segment is the base, try asking for the hints while in the 'Diagram Labels' column to get help finding the base."")%>"	-	"ST is the only known height. Which base is perpendicular to ST? Height placed outside of a parallelogram can be confusing, but don't let it fool you; look for the right angle symbol!"	Your partner measured only one side according to Question2. That means you can only use the length of that side to calculate the area. What is the side your partner measured?	-	-	"Take a look at the diagram label of this column, or under ""Base"". The base segment label is displayed as NT. Enter the length of NT."	"<%=ifThen(hasValue(question0a),concat(""The base you chose is "",question0a,"". How long is this? Is the length given in the question statement?""),""You have not entered the label for your base yet. If you don't know which segment is the base, try asking for the hints while in the 'Diagram Labels' column to get help finding the base."")%>"	x	-	"<%=ifThen(hasValue(question0a),concat(""The base you chose is "",question0a,"". How long is this? Is the length given in the question statement?""),""You have not entered the label for your base yet. If you don't know which segment is the base, try asking for the hints while in the 'Diagram Labels' column to get help finding the base."")%>"	-
%(Ans3a_hint3)%	-	-	"Look at the statement below Question1: ""Just like the previous problem, use ""S"" for the base, and ""T"" for the side adjacent to the base."""	-	"That's right! Both ""base""s labeled in the ROFL parallelogram have the same length. The question statement gave you the length of LF, which is 10 cm. This is also the length for RO!  "	"<%=ifThen(hasValue(question0a),ifThen(regExMatch(""JM|MJ"",question0a),concat(""The length of "",question0a,"" is given in the question statement. Read it carefully to find out.""),concat(""The length of "",question0a,"" is not given, but don't worry, just remember that parallel sides of a parallelogram has the SAME length! Here is a hint: "",question0a,"" is parallel to JM."")),""As shown by the diagram, JM and NL are perpendicular. Which one is the base?"")%>"	-	"Notice a tiny square on the point where ST and TN meet. ST and TN is perpendicular, but TN is not a side! TN is only an extension from NI. This means NI is perpendicular to ST. "	"Your partner only measured AL, but if you don't like that side, you can also use ND as your base. Parallel segment pairs on a parallelograms have the same length, and are perpendicular to the same height!"	-	-	"Re-read the question statement to find how long NT is. If you don't see it, remember that a parallel pair of segments on a parallelogram always has the SAME length!"	"<%=ifThen(hasValue(question0a),ifThen(regExMatch(""LK|LK"",question0a),concat(""The length of "",question0a,"" is given in the question statement. Read it carefully to find out.""),concat(""The length of "",question0a,"" is not given, but don't worry, just remember that parallel sides of a parallelogram has the SAME length! Here is a hint: "",question0a,"" is parallel to LK."")),""As shown by the diagram, LK and IJ are perpendicular. Which one is the base?"")%>"	x	-	"<%=ifThen(hasValue(question0a),ifThen(regExMatch(""AL|LA"",question0a),concat(""The length of "",question0a,"" is given in the question statement. Read it carefully to find out.""),concat(""The length of "",question0a,"" is not given, but don't worry, just remember that parallel sides of a parallelogram has the SAME length! Here is a hint: "",question0a,"" is parallel to AL."")),""As shown by the diagram, AL and SQ are perpendicular. Which one is the base?"")%>"	-
%(Ans3a_hint4)%	-	-	"Since you are entering an expression for the base, enter ""S"" into the highlighted area. "	-	"Since LF and RO are parallel, they have the same length. Since LF is 10 centimeters, RO is also 10 centimeters long. Enter 10 in the highlighted field."	"<%=ifThen(hasValue(question0a),ifThen(regExMatch(""JM|MJ"",question0a),""Question2 has given you JM = 6. Enter 6 into the highlighted area."",concat(""Question2 has given you JM = 6. Since "",question0a,"" is parallel to JM, "",question0a,"" = 6 as well."")),""Base must be a side of a parallelogram. Therefore, JM is the base. Enter its length into the highlighted area."")%>"	-	"You can choose SP as the base too since NI and SP are parallel. Remember, parallel sides have the same length, and are perpendicular to the same height. Enter either NI or SP into the highlighted field."	Enter either AL or ND into the highlighted field.	-	-	"<%=ifThen(regExMatch(""NT|TN"",question0a),""The base (NT) is 10 centimeters long. Enter 10 into the highlighted area."",concat(""Question2 has given you NT = 10. Since "",question0a,"" is parallel to NT, "",question0a,"" = 10 as well.""))%>"	"<%=ifThen(hasValue(question0a),ifThen(regExMatch(""LK|LK"",question0a),""Question2 has given you LK = 15. Enter 15 into the highlighted area."",concat(""Question2 has given you LK = 15. Since "",question0a,"" is parallel to LK, "",question0a,"" = 15 as well."")),""Base must be a side of a parallelogram. Therefore, LK is the base. Enter its length into the highlighted area."")%>"	x	-	"<%=ifThen(hasValue(question0a),ifThen(regExMatch(""AL|LA"",question0a),""Question2 has given you AL = 2. Enter 2 into the highlighted area."",concat(""Question2 has given you AL = 2. Since "",question0a,"" is parallel to AL, "",question0a,"" = 2 as well."")),""Base must be a side of a parallelogram. Therefore, AL is the base. Enter its length into the highlighted area."")%>"	-
%(Ans3b_hint1)%	-	-	Write an expression that represents the length of the side adjacent to the base into the highlighted field.	-	"You can find the height if the base (b) and the area (A) are given! Remember that the area (A) of a parallelogram can be found by calculating ""base"" * ""height""."	"You can find the height if the base (b) and the area (A) are given! Remember that the area (A) of a parallelogram can be found by calculating ""base"" * ""height""."	-	"There are two possible heights in this problem. But in this case, you should choose the height with a known length!  "	"There are two possible heights in this problem. Your partner only measured AL, so you should find the height that is perpendicular to AL."	-	-	Enter the length of the segment that is adjacent to the base. Not sure which segment this is? What is the label of the segment you are looking for?	"<%=ifThen(hasValue(question0b),""Enter the length of MILK's height here. You entered the correct label for the height, so enter that segment's length here."",""Enter the length of MILK's height here."")%>"	"<%=ifThen(hasValue(question0b),""Enter the length of the parallelogram's height #1 here. You entered the correct label for height #1, so enter that segment's length here."",""Enter the length of the parallelogram's height #1 here."")%>"	-	"You can find the height if the base (b) and the area (A) are given! Remember that the area (A) of a parallelogram can be found by calculating ""base"" * ""height""."	-
%(Ans3b_hint2)%	-	-	You have been told to use a specific letter for the side adjacent to the base. Which letter is this? Read the problem statement again if you don't remember.	-	"<%=ifThen(hasValue(question2a,question2c),""Your situation is 'Area' = 'base' * '?'. This means 10 times an number gives you 72. What do you have to multiply to 10 to turn it into 72?"",""Are you sure you are ready to answer this part?"")%>"	"<%=ifThen(hasValue(question2a,question2c),""Your situation is 'Area' = 'base' * '?'. This means 6 times an number gives you 24. What do you have to multiply to 6 to turn it into 24?"",""Are you sure you are ready to answer this part?"")%>"	-	Parallelogram SPIN has two heights but only one height has its length measured. Which one is this? Read the problem statement again to make sure. 	You can find perpendicular segments by looking for the right angle symbol; it looks like tiny squares. But the segment AL is nowhere near them. Does this mean AL is not perpendicular to anything?	-	-	"Take a look at the diagram label of this column, or under ""Side adjacent to the base"". The label for the segment adjacent to the base is displayed as NE. Enter the length of NE."	"<%=ifThen(hasValue(question0b),""What is the label of MILK's height segment you entered right under 'Height of MILK'?"",""You have not entered the label for MILK's height yet. If you don't know which segment is the height, try asking for the hints while in the 'Diagram Labels' column to get help finding the height."")%>"	"<%=ifThen(hasValue(question0b),""What is the label of the height segment you entered right under 'Height #1 (perpend. to base 1)'?"",""You have not entered the label for your height #1 yet. If you don't know which segment is height #1, try asking for the hints while in the 'Diagram Labels' column to get help finding the height."")%>"	-	"<%=ifThen(hasValue(question2a,question2c),""Your situation is 'Area' = 'base' * '?'. This means 2 times an number gives you 3.4. What do you have to multiply to 2 to turn it into 3.4?"",""Are you sure you are ready to answer this part?"")%>"	-
%(Ans3b_hint3)%	-	-	"Look at the statement below Question1: ""Just like the previous problem, use ""S"" for the base, and ""T"" for the side adjacent to the base."""	-	"<%=ifThen(hasValue(question2a,question2c),""Start thinking with very easy numbers. If 2 * '?' = 6, can you figure out what '?' is? You know that 2x3 is 6. You can also find '3' by diving 6 by 2! Division is an inverse operation of multiplication; think of division as 'undoing multiply'."",""In order to solve for the height(h), you need to know the base(b) and the area(A) first. Have you filled out the length of the base and the value of the area yet?"")%>"	"<%=ifThen(hasValue(question2a,question2c),""Start thinking with very easy numbers. If 2 * '?' = 6, can you figure out what '?' is? You know that 2x3 is 6. You can also find '3' by diving 6 by 2! Division is an inverse operation of multiplication; think of division as 'undoing multiply'."",""In order to solve for the height(h), you need to know the base(b) and the area(A) first. Have you filled out the length of the base and the value of the area yet?"")%>"	-	"SPIN's two heights are ST and IJ. The problem statement has only given you the length of ST, which is 2.5 feet long."	"A parallel segment pair on a parallelograms is always perpendicular to the same height! Since AL is parallel to ND, both of them are perpendicular to the height in between them!"	-	-	"Re-read Question2 to find how long NE is. If you don't see it in the question statement, remember that a parallel pair of segments on a parallelogram always has the SAME length!"	"<%=ifThen(hasValue(question0b),concat(""The label you entered under 'Height of MILK' is "",question0b,"". How long is this segment? Read the question statement again if you are not sure.""),""As shown by the diagram, LK and IJ are perpendicular. Which one is the height?"")%>"	"<%=ifThen(hasValue(question0b),concat(""The label you entered under 'Height #1 (perpend. to base 1)' is "",question0b,"". How long is this segment? Read the question statement again if you are not sure.""),""As shown by the diagram, RO and AG are perpendicular. Which one is the height?"")%>"	-	"<%=ifThen(hasValue(question2a,question2c),""Start thinking with very easy numbers. If 2 * '?' = 6, can you figure out what '?' is? You know that 2x3 is 6. You can also find '3' by diving 6 by 2! Division is an inverse operation of multiplication; think of division as 'undoing multiply'."",""In order to solve for the height(h), you need to know the base(b) and the area(A) first. Have you filled out the length of the base and the value of the area yet?"")%>"	-
%(Ans3b_hint4)%	-	-	"Since you are entering an expression for the side adjacent to the base, enter ""T"" into the highlighted area. "	-	"<%=ifThen(hasValue(question2a,question2c),""Now do the same thing with 72(area) and 10(base); divide 72 by 10: 72/10 = 7.2."",""Make sure both the length of the base and the value of the area is filled before coming back to this field!"")%> "	"<%=ifThen(hasValue(question2a,question2c),""Now do the same thing with 24(area) and 6(base); divide 24 by 6: 24/6 = 4."",""Make sure both the length of the base and the value of the area is filled before coming back to this field!"")%> "	-	Enter ST into the highlighted area.	AC is the height between AL and ND; it is perpendicular to both AL and ND. Enter AC into the highlighted area.	-	-	The side adjacent to the base (NE) is 12 centimeters long. Enter 12 into the highlighted area.	"<%=ifThen(hasValue(question0b),""IJ is 20 milimeters long. Enter the length into the highlighted area."",""Think about the base first. A base must be a side of a parallelogram. So the base is LK. That only leaves IJ to be the height. Enter its length into the highlighted area."")%>"	"<%=ifThen(hasValue(question0b),""AG is 6 inches long. Enter the length into the highlighted area."",""Think about the base #1 first. A base must be a side of a parallelogram. So the base #1 is RO. That only leaves AG to be height #1. Enter its length into the highlighted area."")%>"	-	"<%=ifThen(hasValue(question2a,question2c),""Now do the same thing with 3.4(area) and 2(base); divide 3.4 by 2: 3.4/2 = 1.7."",""Make sure both the length of the base and the value of the area is filled before coming back to this field!"")%> "	-
%(Ans3c_hint1)%	-	"Think of ""S"" and ""T"" as ""secret codes"" that represent lengths. Right now, AE = S and AB = T. That means you can use ""S"" for other sides that have  the same length as AE, and ""T"" for other sides that have the same length as AB!"	"<%=ifThen(hasValue(question2a, question2b),""Enter the expression for FIRE's perimeter in the highlighted area. Think about what you did when you used 6 and 4.5 to figure out that the perimeter is 21 cm, but substitute S and T for '6' and '4.5!"",""Enter the expression for FIRE's perimeter in the highlighted area. A perimeter is the sum of the lengths of all sides on a geometry."")%>"	-	Enter the value of the parallelogram's area here. It is given in the statement for Question2.	Enter the value of the parallelogram's area here. It is given in the statement for Question2.	-	-	-	-	-	"You can find the height if the base (b) and the area (A) are given! Remember that the area (A) of a parallelogram can be found by calculating ""base"" * ""height""."	Enter the length of the parallelogram CUKI's base here. Not sure which segment is the base? What is the label of the base segment?	"You are looking for the length of the base, FR, which is base #2. <%=ifThen(hasValue(question2d,question2e),""You can find the base(b), if the height(h) and the area(A) is given! Just remember that area (A) = 'base' * 'height'"",""What do you need to know in order to solve for the unknown base?"")%>"	-	Enter the value of the parallelogram's area here. It is given in the statement for Question2.	-
%(Ans3c_hint2)%	-	"Here is more hint: all parallelograms have a rule where two opposite sides are always PARALLEL, and have the SAME length! Using this rule, can you find the side that has the same length as BD?"	"<%=ifThen(hasValue(question2a, question2b),""If you figured out the perimeter already, how did you figure it out? You added lengths of all 4 sides: 6+6+4.5+(Ans2_b)% = 21. Now it is time to the do the same thing with 'S' and 'T'."",""Some of the expressions in this row is missing. Have you filled out the letters represented for FE and FI yet?"")%>"	-	"Here is a quick tip about recognizing a value of an area; look at the value's unit. If the unit is squared, like ""square centimeters"", it is likely that it is describing an area. Do you see such value in the statement for Question2? "	"Here is a quick tip about recognizing a value of an area; look at the value's unit. If the unit is squared, like ""square inches"", it is likely that it is describing an area. Do you see such value in the statement for Question2? "	-	-	-	-	-	"<%=ifThen(hasValue(question2a,question2e),""Your situation is 'Area' = 'base' * '?'. This means 10 times an number gives you 50. What do you have to multiply to 10 to turn it into 50?"",""Are you sure you are ready to answer this part?"")%>"	"Take a look at the diagram label of this column, or under ""Base of CUKI"". The base segment label is displayed as IK. Enter the length of IK."	"<%=ifThen(hasValue(question2d,question2e),""Your situation is 'Area' = '?' * 'height' where the base is represented as '?'. Solve for the base by dividing the area by the height! But which height should you use? Height #1 or height #2?"",""Are you sure you are ready to answer this part?"")%>"	-	"Here is a quick tip about recognizing a value of an area; look at the value's unit. If the unit is squared, like ""square milimeters"", it is likely that it is describing an area. Do you see such value in the statement for Question2? "	-
%(Ans3c_hint3)%	-	"The side opposite to BD is AE. Therefore, they are parallel and have the same length. This means they will share the same ""code"" representing the length too!"	"<%=ifThen(hasValue(question2a, question2b),""The length of FE is represented by 'S', and the length of FI is represented by 'T'. Since FE and FE have the equal length, they are both 'S'. Since FI and FI have the equal length, they are both 'T'. Now, add them all up!"",""In order to figure out the perimeter of the parallelogram, you must know the lengths of at least 1 base and 1 adjacent side. Please complete entering the letters represented by the sides of FIRE!"")%>"	-	"72 sq. cm is the value of the area. Note that it's unit is ""sq. cm"" instead of just ""cm""."	"24 sq. in is the value of the area. Note that it's unit is ""sq. in"" instead of just ""in""."	-	-	-	-	-	"<%=ifThen(hasValue(question2a,question2e),""Start thinking with very easy numbers. If 2 * '?' = 6, can you figure out what '?' is? You know that 2x3 is 6. You can also find '3' by diving 6 by 2! Division is an inverse operation of multiplication; think of division as 'undoing multiply'."",""In order to solve for the height, you need to know the base(b) and the area(A) first. Have you filled out the length of the base and the value of the area yet?"")%>"	"Re-read the question statement to find how long LK is. If you don't see it, remember that a parallel pair of segments on a parallelogram always have the SAME length!"	"<%=ifThen(hasValue(question2d,question2e),""You are solving for FR, which is base #2. You should use the height that is perpendicular to base #2."",""In order to solve for the base, you need to know the height(h) and the area(A) first. Have you filled out the length of the height and the value of the area yet?"")%>"	-	"3.4 sq. mm is the value of the area. Note that it's unit is ""sq. mm"" instead of just ""mm""."	-
%(Ans3c_hint4)%	-	"The letter under AE's column is ""S"". Therefore BD is also ""S"". Enter S into the highlighted area."	"<%=ifThen(hasValue(question2a, question2b),""The expression for FIRE's perimeter is 'S+S+T+T'. Or, simply '2*(S+T)'."",""Fill in the expressions for FE and FI, then come back to this field!"")%>"	-	"Enter ROFL's area, 72."	"Enter JKLM's area, 24."	-	-	-	-	-	"<%=ifThen(hasValue(question2a,question2e),""Now do the same thing with 50(area) and 10(base); divide 50 by 10: 50/10 = 5."",""Fill in the length of the base and the value of the area, then come back to this field!"")%>"	"<%=ifThen(regExMatch(""LK|LK"",question0a),""The base (LK) is 90 milimeters long. Enter 50 into the highlighted area."",concat(""Question2 has given you LK = 50. Since "",question0c,"" is parallel to LK, "",question0c,"" = 50 as well.""))%>"	"<%=ifThen(hasValue(question2d,question2e),concat(""Base #2 is perpendicular to height #2, which you entered as "",question0d,"". Solve for base #2 (FR) by dividing the length of height #2 by the area: 90/10 = 9.""),""Make sure both the length of the height and the value of the area is filled before coming back to this field!"")%>"	-	"Enter SALT's area, 3.4."	-
%(Ans3d_hint1)%	-	"Think of ""S"" and ""T"" as ""secret codes"" to represent lengths. Right now, AE = S and AB = T. That means you can use ""S"" for other sides that have  the same length as AE, and ""T"" for other sides that have the same length as AB!"	-	-	-	-	-	-	-	-	-	A perimeter is the sum of the lengths of all the sides of a geometry.	"You can find the height of CUKI, if the base (b) and the area (A) are given! Remember that the area (A) of a parallelogram can be found by calculating ""base"" * ""height""."	"<%=ifThen(hasValue(question0d),""Enter the length of the parallelogram's height #2 here. You entered the correct label for height #2, so enter that segment's length here."",""Enter the length of the parallelogram's height #2 here."")%>"	-	-	-
%(Ans3d_hint2)%	-	"Here is more hint: all parallelograms have a rule where two opposite sides are always PARALLEL, and have the SAME length! Using this rule, can you find the side that has the same length as ED?"	-	-	-	-	-	-	-	-	-	"<%=ifThen(hasValue(question2a,question2b),""You are only given the lengths of 2 sides this time: NT and NE. But did you know that parallel sides on a parallelogram have the equal length? That means you already know the lengths of two other sides, EA and AT."",""Are you sure you are ready to answer this part?"")%>"	"<%=ifThen(hasValue(question2c,question2e),""Your situation is 'Area' = 'base' * '?'. This means 15 times an number gives you 300. What do you have to multiply to 15 to turn it into 300?"",""Are you sure you are ready to answer this part?"")%>"	"<%=ifThen(hasValue(question0d),""What is the label of the height segment you entered right under 'Height #2 (perpend. to base 2)'?"",""You have not entered the label for your height #2 yet. If you don't know which segment is height #2, try asking for the hints while in the 'Diagram Labels' column to get help finding the height."")%>"	-	-	-
%(Ans3d_hint3)%	-	"The side opposite to ED is AB. Therefore, they are parallel and have the same length. This means they will share the same ""code"" representing the length too!"	-	-	-	-	-	-	-	-	-	"<%=ifThen(hasValue(question2a,question2b),""NT and EA are both 10, and EN and AT are both 12 cm. You can either do 10 + 12 + 10 + 12 or the faster way, (10 + 12) * 2."",""In order to figure out the perimeter, you must know the lengths of at least 1 base and 1 side adjacent to the base.  Have you filled in lengths for NT and NE?"")%>"	"<%=ifThen(hasValue(question2c,question2e),""Start thinking with very easy numbers. If 2 * '?' = 6, can you figure out what '?' is? You know that 2x3 is 6. You can also find '3' by diving 6 by 2! Division is an inverse operation of multiplication; think of division as 'undoing multiply'."",""In order to solve for CUKI's height, you need to know the base(b) and the area(A) of CUKI first. Have you filled out the length of the base and the value of the area yet?"")%>"	"<%=ifThen(hasValue(question0d),concat(""The label you entered under 'Height #2 (perpend. to base 2)' is "",question0d,"". How long is this segment? Read the question statement again if you are not sure.""),""As shown by the diagram, FR and BG are perpendicular. Which one is the height?"")%>"	-	-	-
%(Ans3d_hint4)%	-	"The letter under AB's column is ""T"". Therefore ED is also ""T"". Enter T into the highlighted area."	-	-	-	-	-	-	-	-	-	"<%=ifThen(hasValue(question2a,question2b),""The perimeter of parallelogram NEAT is (10 + 12) * 2 = 44."",""Fill in the lengths of NT and NE, then come back to this field!"")%>"	"<%=ifThen(hasValue(question2c,question2e),""Now do the same thing with 300(area) and 50(base); divide 300 by 50: 300/50 = 6."",""Fill in the length of the base and the value of the area for the parallelogram CUKI, then come back to this field!"")%>"	"<%=ifThen(hasValue(question0d),""AG is 10 inches long. Enter the length into the highlighted area."",""Think about the base first. A base must be a side of a parallelogram. So the base #2 is FR. That only leaves BG to be height #2. Enter its length into the highlighted area."")%>"	-	-	-
%(Ans3e_hint1)%	-	"<%=ifThen(hasValue(question2c, question2d),""Enter the expression for ABDE's perimeter in the highlighted area. Think about what you did when you used lengths of all sides to figure out that the perimeter is 6 cm, but substitute S and T for each sides!"",""Enter the expression for ABDE's perimeter in the highlighted area. A perimeter is the sum of the lengths of all the sides of a geometry."")%>"	-	-	-	-	-	-	-	-	-	Enter the value of the parallelogram's area here. It is given in the statement for Question2.	You have two parallelograms with the same areas. Find either the area of MILK or CUKI and enter it into the highlighted area.  Look up the area formula in the glossary if you need help.	Enter the value of the parallelogram's area here. It is given in the statement for Question2.	-	-	-
%(Ans3e_hint2)%	-	"<%=ifThen(hasValue(question2c, question2d),""If you figured out the perimeter already, how did you figure it out? You added lengths of all 4 sides: 6+6+14+(Ans2_b)% = 6. Now it is time to the do the same thing with 'S' and 'T'."",""Some of the expressions in this row is missing. Have you filled out the letters represented for BD and ED yet?"")%>"	-	-	-	-	-	-	-	-	-	"Here is a quick tip about recognizing a value of an area; look at the value's unit. If the unit is squared, like ""square centimeters"", it is likely that it is describing an area. Do you see such value in the statement for Question2? "	"Open the glossary and search for ""Area - Parallelogram"". "	"Here is a quick tip about recognizing a value of an area; look at the value's unit. If the unit is squared, like ""square inches"", it is likely that it is describing an area. Do you see such value in the statement for Question2? "	-	-	-
%(Ans3e_hint3)%	-	"<%=ifThen(hasValue(question2c, question2d),""Think of 'S' and 'T' as secret codes to represent lengths. Since AE's length is represented by 'S', '6' can be replaced by 'S'. And Since AB's length is represented by 'T', '14' can be replaced by 'T'. Now, how would you replace '6 + 14 + 6 + 14' with S and T?"",""In order to figure out the perimeter of the parallelogram, you must know the lengths of at least 1 base and 1 adjacent side. Please complete entering the letters represented by the sides of ABDE!"")%>"	-	-	-	-	-	-	-	-	-	"50 sq. cm is the value of the area. Note that it's unit is ""sq. cm"" instead of just ""cm""."	The only set of base and height given in the Question2 is from the parallelogram MILK. Find its area using this formula: A = b * h. What is the length of the base? What is the length of the height?	"90 sq. in is the value of the area. Note that it's unit is ""sq. in"" instead of just ""in""."	-	-	-
%(Ans3e_hint4)%	-	"<%=ifThen(hasValue(question2c, question2d),""The expression for ABDE's perimeter is 'S+S+T+T'. Or, simply '2*(S+T)'."",""Fill in the expressions for BD and ED, then come back to this field!"")%>"	-	-	-	-	-	-	-	-	-	"Enter NEAT's area, 50."	"<%=ifThen(hasValue(question2a,question2b),concat(""All you have to do is multiply the length of the base ("",question0a,"" = 15) by the height (IK = 50). Therefore, A = 15 * 50!""),""Uh oh, you cannot figure out the area without the lengths of the base and the height of MILK! Come back to this field after you find their lengths!"")%>"	"Enter FROG's area, 90."	-	-	-

