Problem Name	00Intro	02Banquet	03Goodies	05College	01Automobile	04Disguises	06Clothes
%(2898603931716455312)%	"<%=ifThen(hasValue(-),""No, that is not correct. Click on the 'hint' button to get more help solving for this field!"",""Are you sure you are ready to do this part? This row is filled a little differently. Read question 3 again to find out what to do."")%>"	"<%=ifThen(hasValue(-),""No, that is not correct. Click on the 'hint' button to get more help solving for this field!"",""Are you sure you are ready to do this part? This row is filled a little differently. Read question 3 again to find out what to do."")%>"	"<%=ifThen(hasValue(-),""No, that is not correct. Click on the 'hint' button to get more help solving for this field!"",""Are you sure you are ready to do this part? This row is filled a little differently. Read question 3 again to find out what to do."")%>"	"<%=ifThen(hasValue(-),""No, that is not correct. Click on the 'hint' button to get more help solving for this field!"",""Are you sure you are ready to do this part? This row is filled a little differently. Read question 3 again to find out what to do."")%>"	"<%=ifThen(hasValue(Q3C2,Q3C3,Q3C4,Ans6),""No, that is not correct. Click on the 'hint' button to get more help solving for this field!"",""Are you sure you are ready to do this part? This row is filled a little differently. Read question 3 again to find out what to do."")%>"	"<%=ifThen(hasValue(Q3C1,Q3C2,Ans6),""No, that is not correct. Click on the 'hint' button to get more help solving for this field!"",""Are you sure you are ready to do this part? This row is filled a little differently. Read question 3 again to find out what to do."")%>"	"<%=ifThen(hasValue(Q3C1,Q3C2,Ans6),""No, that is not correct. Click on the 'hint' button to get more help solving for this field!"",""Are you sure you are ready to do this part? This row is filled a little differently. Read question 3 again to find out what to do."")%>"
%(-3078861066870217511)%	Please enter '320' in the highlighted field.	Please enter '180' in the highlighted field.	Please enter '81' in the highlighted field.	Please enter '200' in the highlighted field.	Please enter '120' in the highlighted field.	Please enter '100' in the highlighted field.	Please enter '60' in the highlighted field.
%(8577704449607348231)%	-	What was the original number of main courses? Was any change in this number mentioned in the question?	What was the original number of flavors of lollipops? Was any change in this number mentioned in the question?	What was the original number of team sports? Was any change in this number mentioned in the question?	What was the original number of wheel types? Was any change in this number mentioned in the question?	What was the original number of pairs of eyeglasses? Was any change in this number mentioned in the question?	What was the original number of pairs of shorts? Was any change in this number mentioned in the question?
%(-8168018196270375820)%	Please enter '2' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '5' in the highlighted field.
%(4370541517531866256)%	-	What was the original number of desserts? Was any change in this number mentioned in the question?	-	-	-	-	-
%(-620225401081326234)%	Please enter '4' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '-' in the highlighted field.	Please enter '-' in the highlighted field.
%(-2654508020593437938)%	Please enter '2' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '4' in the highlighted field.
%(2432275686586455916)%	"Read this part of question 3 carefully: ""-""."	"Read this part of question 3 carefully: ""-""."	"Read this part of question 3 carefully: ""-""."	"Read this part of question 3 carefully: ""-""."	"Read this part of question 3 carefully: ""the company need to offer 120 available variations""."	"Read this part of question 3 carefully: ""but he knows he can make 100 disguises. ""."	"Read this part of question 3 carefully: ""If he knows that he can make 60 outfits""."
%(8714136424955175979)%	"<%=ifThen(hasValue(Q2C1),""Please enter '2*5*?*2*2' in the highlighted field."",""You are missing the number of items for one or more categories. Fill in the numbers for the rest of the categories in this row, and then come back to the highlighted field!"")%>"	"<%=ifThen(hasValue(Q2C1,Q2C2,Q2C3,Q2C4,Q2C5),""Please enter '4*5*3*3*5' in the highlighted field."",""You are missing the number of items for one or more categories. Fill in the numbers for the rest of the categories in this row, and then come back to the highlighted field!"")%>"	"<%=ifThen(hasValue(Q2C1,Q2C2,Q2C3,Q2C4),""Please enter '2*4*4*2' in the highlighted field."",""You are missing the number of items for one or more categories. Fill in the numbers for the rest of the categories in this row, and then come back to the highlighted field!"")%>"	"<%=ifThen(hasValue(Q2C1,Q2C2,Q2C3,Q2C4),""Please enter '5*3*5*4' in the highlighted field."",""You are missing the number of items for one or more categories. Fill in the numbers for the rest of the categories in this row, and then come back to the highlighted field!"")%>"	"<%=ifThen(hasValue(Q2C1,Q2C2,Q2C3,Q2C4),""Please enter '8*4*3*2' in the highlighted field."",""You are missing the number of items for one or more categories. Fill in the numbers for the rest of the categories in this row, and then come back to the highlighted field!"")%>"	"<%=ifThen(hasValue(Q2C1,Q2C2,Q2C3),""Please enter '4*5*3' in the highlighted field."",""You are missing the number of items for one or more categories. Fill in the numbers for the rest of the categories in this row, and then come back to the highlighted field!"")%>"	"<%=ifThen(hasValue(Q2C1,Q2C2,Q2C3),""Please enter '5*2*1' in the highlighted field."",""You are missing the number of items for one or more categories. Fill in the numbers for the rest of the categories in this row, and then come back to the highlighted field!"")%>"
%(7207617471725491118)%	-	-	-	-	"<%=ifThen(hasValue(Q3C2,Q3C3,Q3C4,Ans6),""How many exterior colors would you need in order to have 120 total combinations?"",""You need to solve for the number of exterior colors. Try dividing the total number of variations by the product of the known options."")%>"	"<%=ifThen(hasValue(Q3C1,Q3C2,Ans6),""How many hats would you need in order to have 100 total combinations?"",""You need to solve for the number of hats. Try dividing the total number of variations by the product of the known options."")%>"	"<%=ifThen(hasValue(Q3C1,Q3C2,Ans6),""How many caps would you need in order to have 60 total combinations?"",""You need to solve for the number of caps. Try dividing the total number of variations by the product of the known options."")%>"
%(5147581576581620011)%	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?
%(-3359113084420848933)%	Please enter '5' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '6' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '3' in the highlighted field.
%(-7397645865231592241)%	This time you already know the total number of combinations! Read the question carefully to find the total combination given.	This time you already know the total number of combinations! Read the question carefully to find the total combination given.	This time you already know the total number of combinations! Read the question carefully to find the total combination given.	This time you already know the total number of combinations! Read the question carefully to find the total combination given.	This time you already know the total number of combinations! Read the question carefully to find the total combination given.	This time you already know the total number of combinations! Read the question carefully to find the total combination given.	This time you already know the total number of combinations! Read the question carefully to find the total combination given.
%(-6739512638258931693)%	Please enter '4' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '1' in the highlighted field.
%(-4603763850597750220)%	Please enter '5' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '2' in the highlighted field.
%(5624948032760697641)%	Please enter '2' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '-' in the highlighted field.	Please enter '-' in the highlighted field.	Please enter '-' in the highlighted field.	Please enter '-' in the highlighted field.	Please enter '-' in the highlighted field.
%(-5712362753947310339)%	"<%=ifThen(hasValue(Q1C1),""Please enter '2*5*3*2*2' in the highlighted field."",""You are missing the number of items for one or more categories. Fill in the numbers for the rest of the categories in this row, and then come back to the highlighted field!"")%>"	"<%=ifThen(hasValue(Q1C1,Q1C2,Q1C3,Q1C4,Q1C5),""Please enter '4*5*3*3*6' in the highlighted field."",""You are missing the number of items for one or more categories. Fill in the numbers for the rest of the categories in this row, and then come back to the highlighted field!"")%>"	"<%=ifThen(hasValue(Q1C1,Q1C2,Q1C3,Q1C4),""Please enter '2*2*2*2' in the highlighted field."",""You are missing the number of items for one or more categories. Fill in the numbers for the rest of the categories in this row, and then come back to the highlighted field!"")%>"	"<%=ifThen(hasValue(Q1C1,Q1C2,Q1C3,Q1C4),""Please enter '5*6*10*4' in the highlighted field."",""You are missing the number of items for one or more categories. Fill in the numbers for the rest of the categories in this row, and then come back to the highlighted field!"")%>"	"<%=ifThen(hasValue(Q1C1,Q1C2,Q1C3,Q1C4),""Please enter '5*4*3*1' in the highlighted field."",""You are missing the number of items for one or more categories. Fill in the numbers for the rest of the categories in this row, and then come back to the highlighted field!"")%>"	"<%=ifThen(hasValue(Q1C1,Q1C2,Q1C3),""Please enter '4*5*1' in the highlighted field."",""You are missing the number of items for one or more categories. Fill in the numbers for the rest of the categories in this row, and then come back to the highlighted field!"")%>"	"<%=ifThen(hasValue(Q1C1,Q1C2,Q1C3),""Please enter '4*3*1' in the highlighted field."",""You are missing the number of items for one or more categories. Fill in the numbers for the rest of the categories in this row, and then come back to the highlighted field!"")%>"
%(6829405808902455570)%	"<%=ifThen(hasValue(-),""Think about the expression with the unknown: - = 320. Can you solve for the unknown?"",""Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(-),""Think about the expression with the unknown: - = 180. Can you solve for the unknown?"",""Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(-),""Think about the expression with the unknown: - = 81. Can you solve for the unknown?"",""Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(-),""Think about the expression with the unknown: - = 200. Can you solve for the unknown?"",""Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(Q3C2,Q3C3,Q3C4,Ans6),""Think about the expression with the unknown: ?*4*3*1 = 120. Can you solve for the unknown?"",""Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(Q3C1,Q3C2,Ans6),""Think about the expression with the unknown: 4*5*? = 100. Can you solve for the unknown?"",""Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(Q3C1,Q3C2,Ans6),""Think about the expression with the unknown: 5*3*? = 60. Can you solve for the unknown?"",""Are you sure you are ready to do this part?"")%>"
%(-1092580436577359875)%	"<%=ifThen(hasValue(-),""If it is still difficult, simplify it!: -*? = 320. You can solve for the number you want by dividing total combinations by the product of already known items: 320/- = ?"",""You have not filled in the rest of the knowns yet. You can't solve for the unknown without knowing all of the givens."")%>"	"<%=ifThen(hasValue(-),""If it is still difficult, simplify it!: -*? = 180. You can solve for the number you want by dividing total combinations by the product of already known items: 180/- = ?"",""You have not filled in the rest of the knowns yet. You can't solve for the unknown without knowing all of the givens."")%>"	"<%=ifThen(hasValue(-),""If it is still difficult, simplify it!: -*? = 81. You can solve for the number you want by dividing total combinations by the product of already known items: 81/- = ?"",""You have not filled in the rest of the knowns yet. You can't solve for the unknown without knowing all of the givens."")%>"	"<%=ifThen(hasValue(-),""If it is still difficult, simplify it!: -*? = 200. You can solve for the number you want by dividing total combinations by the product of already known items: 200/- = ?"",""You have not filled in the rest of the knowns yet. You can't solve for the unknown without knowing all of the givens."")%>"	"<%=ifThen(hasValue(Q3C2,Q3C3,Q3C4,Ans6),""If it is still difficult, simplify it!: 12*? = 120. You can solve for the number you want by dividing total combinations by the product of already known items: 120/12 = ?"",""You have not filled in the rest of the knowns yet. You can't solve for the unknown without knowing all of the givens."")%>"	"<%=ifThen(hasValue(Q3C1,Q3C2,Ans6),""If it is still difficult, simplify it!: 20*? = 100. You can solve for the number you want by dividing total combinations by the product of already known items: 100/20 = ?"",""You have not filled in the rest of the knowns yet. You can't solve for the unknown without knowing all of the givens."")%>"	"<%=ifThen(hasValue(Q3C1,Q3C2,Ans6),""If it is still difficult, simplify it!: 15*? = 60. You can solve for the number you want by dividing total combinations by the product of already known items: 60/15 = ?"",""You have not filled in the rest of the knowns yet. You can't solve for the unknown without knowing all of the givens."")%>"
%(748909679172049475)%	-	-	-	-	Correct! You figured out how many Exterior Colors the company needs!	Correct! You helped Sam find out how many hats he has.	Correct! You helped Fred find out how many caps he has.
%(4396902636745296816)%	-	What was the original number of main courses? Was any change in this number mentioned in the question?	What was the original number of flavors of lollipops? Was any change in this number mentioned in the question?	What was the original number of team sports? Was any change in this number mentioned in the question?	What was the original number of interior colors? Was any change in this number mentioned in the question?	What was the original number of pairs of eyeglasses? Was any change in this number mentioned in the question?	What was the original number of pairs of shorts? Was any change in this number mentioned in the question?
%(-8936127044229033208)%	"<%=ifThen(hasValue(Ans2),""Remember: Product is the answer you get when you multiply."",""You have not figured out the correct expression for the total number of possibilities. Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(Ans2),""Remember: Product is the answer you get when you multiply."",""You have not figured out the correct expression for the total number of possibilities. Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(Ans2),""Remember: Product is the answer you get when you multiply."",""You have not figured out the correct expression for the total number of possibilities. Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(Ans2),""Remember: Product is the answer you get when you multiply."",""You have not figured out the correct expression for the total number of possibilities. Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(Ans2),""Remember: Product is the answer you get when you multiply."",""You have not figured out the correct expression for the total number of possibilities. Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(Ans2),""Remember: Product is the answer you get when you multiply."",""You have not figured out the correct expression for the total number of possibilities. Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(Ans2),""Remember: Product is the answer you get when you multiply."",""You have not figured out the correct expression for the total number of possibilities. Are you sure you are ready to do this part?"")%>"
%(-7603262052616321235)%	"<%=ifThen(hasValue(Q1C1),""-"",""Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(Q1C1,Q1C2,Q1C3,Q1C4,Q1C5),""Try multiplying all possible dinner items."",""Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(Q1C1,Q1C2,Q1C3,Q1C4),""Try multiplying all types of goodies."",""Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(Q1C1,Q1C2,Q1C3,Q1C4),""Try multiplying all available programs."",""Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(Q1C1,Q1C2,Q1C3,Q1C4),""Try multiplying all available options."",""Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(Q1C1,Q1C2,Q1C3),""Try multiplying all available disguise items."",""Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(Q1C1,Q1C2,Q1C3),""Try multiplying all available clothing items."",""Are you sure you are ready to do this part?"")%>"
%(-3506049908012730011)%	Please enter '2' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '8' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '5' in the highlighted field.
%(8186529764451903592)%	Please enter '2' in the highlighted field.	Please enter '-' in the highlighted field.	Please enter '-' in the highlighted field.	Please enter '-' in the highlighted field.	Please enter '-' in the highlighted field.	Please enter '-' in the highlighted field.	Please enter '-' in the highlighted field.
%(-6046061231765358233)%	-	What was the original number of desserts? Was any change in this number mentioned in the question?	-	-	-	-	-
%(-5166532556208710060)%	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."
%(-7712899300616731844)%	Please enter '3' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '10' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.
%(-1034806583750166)%	Please enter '2' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '-' in the highlighted field.	Please enter '-' in the highlighted field.
%(2993015288842267008)%	"<%=ifThen(hasValue(Ans2),""Please enter '160' in the highlighted field."",""Enter the correct expression under 'Expression for number of possible outfits', and then come back to the highlighted field to evaluate it!"")%>"	"<%=ifThen(hasValue(Ans2),""Please enter '900' in the highlighted field."",""Enter the correct expression under 'Expression for number of possible dinners', and then come back to the highlighted field to evaluate it!"")%>"	"<%=ifThen(hasValue(Ans2),""Please enter '64' in the highlighted field."",""Enter the correct expression under 'Expression for number of different goodie bags', and then come back to the highlighted field to evaluate it!"")%>"	"<%=ifThen(hasValue(Ans2),""Please enter '300' in the highlighted field."",""Enter the correct expression under 'Expression for number of different programs', and then come back to the highlighted field to evaluate it!"")%>"	"<%=ifThen(hasValue(Ans2),""Please enter '192' in the highlighted field."",""Enter the correct expression under 'Expression for number of available variations', and then come back to the highlighted field to evaluate it!"")%>"	"<%=ifThen(hasValue(Ans2),""Please enter '60' in the highlighted field."",""Enter the correct expression under 'Expression for number of possible disguises', and then come back to the highlighted field to evaluate it!"")%>"	"<%=ifThen(hasValue(Ans2),""Please enter '10' in the highlighted field."",""Enter the correct expression under 'Expression for number of possible outfits', and then come back to the highlighted field to evaluate it!"")%>"
%(-5385789602946212774)%	"<%=ifThen(hasValue(Ans1),""Please enter '120' in the highlighted field."",""Enter the correct expression under 'Expression for number of possible outfits', and then come back to the highlighted field to evaluate it!"")%>"	"<%=ifThen(hasValue(Ans1),""Please enter '1080' in the highlighted field."",""Enter the correct expression under 'Expression for number of possible dinners', and then come back to the highlighted field to evaluate it!"")%>"	"<%=ifThen(hasValue(Ans1),""Please enter '16' in the highlighted field."",""Enter the correct expression under 'Expression for number of different goodie bags', and then come back to the highlighted field to evaluate it!"")%>"	"<%=ifThen(hasValue(Ans1),""Please enter '1200' in the highlighted field."",""Enter the correct expression under 'Expression for number of different programs', and then come back to the highlighted field to evaluate it!"")%>"	"<%=ifThen(hasValue(Ans1),""Please enter '60' in the highlighted field."",""Enter the correct expression under 'Expression for number of available variations', and then come back to the highlighted field to evaluate it!"")%>"	"<%=ifThen(hasValue(Ans1),""Please enter '20' in the highlighted field."",""Enter the correct expression under 'Expression for number of possible disguises', and then come back to the highlighted field to evaluate it!"")%>"	"<%=ifThen(hasValue(Ans1),""Please enter '12' in the highlighted field."",""Enter the correct expression under 'Expression for number of possible outfits', and then come back to the highlighted field to evaluate it!"")%>"
%(-6283222539184686164)%	"<%=ifThen(hasValue(Q3C1),""- -"",""Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(Q3C1,Q3C2,Q3C3,Q3C4),""Try multiplying all available dinner items.  Remember that one of the choices of the dinner is not available!"",""Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(Q3C1,Q3C2,Q3C3,Q3C4),""Try multiplying all available types of goodies.  The number of available variations is equal to the product of the number of types or flavors of chocolate bars, lollipops, cookies, and fruits."",""Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(Q3C1,Q3C3,Q3C4),""Try multiplying all available programs. Remember that one of the choices of program is not available!"",""Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(x),""- -"",""Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(x),""- -"",""Are you sure you are ready to do this part?"")%>"	"<%=ifThen(hasValue(x),""- -"",""Are you sure you are ready to do this part?"")%>"
%(2134744581016692998)%	-	What was the original number of vegetables? Was any change in this number mentioned in the question?	What was the original number of types of cookies? Was any change in this number mentioned in the question?	What was the original number of handicrafts? Was any change in this number mentioned in the question?	What was the original number of engine sizes? Was any change in this number mentioned in the question?	-	-
%(-7077924709190674011)%	Please enter '5' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '10' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '3' in the highlighted field.
%(-4304443082063064892)%	-	What was the original number of appetizers? Was any change in this number mentioned in the question?	What was the original number of types of chocolate bars? Was any change in this number mentioned in the question?	What was the original number of academic classes? Was any change in this number mentioned in the question?	What was the original number of interior colors? Was any change in this number mentioned in the question?	What was the original number of wigs? Was any change in this number mentioned in the question?	What was the original number of shirts? Was any change in this number mentioned in the question?
%(-1167693905293841677)%	-	What was the original number of appetizers? Was any change in this number mentioned in the question?	What was the original number of types of chocolate bars? Was any change in this number mentioned in the question?	What was the original number of academic classes? Was any change in this number mentioned in the question?	What was the original number of exterior colors? Was any change in this number mentioned in the question?	What was the original number of wigs? Was any change in this number mentioned in the question?	What was the original number of shirts? Was any change in this number mentioned in the question?
%(5957738973481538326)%	-	What was the original number of beverages? Was any change in this number mentioned in the question?	What was the original number of types of fruits? Was any change in this number mentioned in the question?	What was the original number of water activities? Was any change in this number mentioned in the question?	What was the original number of engine sizes? Was any change in this number mentioned in the question?	-	-
%(366813312404969641)%	-	What was the original number of beverages? Was any change in this number mentioned in the question?	What was the original number of types of fruits? Was any change in this number mentioned in the question?	What was the original number of water activities? Was any change in this number mentioned in the question?	-	-	-
