Problem Name	01Bank	02Highway	03Farmer	04Stocks	05Vitamins	06Widgets	07Gold	08Store
%(q4a1-h2)%	How much money was left in Damien's account after he wrote the check?	How many mph is the speed limit changed by?	How many pumpkins did the farmer have last year?	At what price does Azimuth Inc open?	How many milligrams of C are in your new multivitamin?	How many widgets were produced in November?	How many people lived in San Francisco in 1850?	What was the price before the discount?
								
%(q4a2-h1)%	What do you already know from the question? A value given in the question represents the amount of money Damien's account changed by.	What do you already know from the question? A value given in the question represents the new speed.	What do you already know from the question? A value in the question represents this year's crop.	What do you already know from the question? A given value in this question represents the change in price in Azimuth Inc stock.	What do you already know from the question? A given value in this question represents the original dose of vitamin C.	What do you already know from the question? A value in the question represents the change in widgets produced.	What do you already know from the question? A value given in the question represents the percent change in population.	What do you already know from the question? A value given in the question represents the percent change.
%(q4a2-h2)%	How much money  did Damien's savings change by after writing the check?	What is the new speed as you pass someone on the highway?	How many pumpkins were shipped this year?	What amount does the price of Azimuth increase by?	How many milligrams of C were in your old multivitamin?	How many more widgets were produced in November than October?	What percent did the population decrease by from 1850 to 1860?	What is the percent value of the discount?
								
%(q4a3-h1)%	The savings at the beginning of the month is the savings at the end of the month minus the amount of change.	The original speed is the new speed minus the change in speed.	You can use last year's crops and this year's crops to find the change in plants. Subtract last year's crops from this year's.	The closing price is the opening price plus the change in price.	You can find the change in milligrams of C by subtracting the new dosage from the original dosage.	You can find starting value of widgets by subtracting change in widgets by end value.	You can find the amount of change of population by multiplying the original population by the decimal form of percent change.	You can find the change in price by multiplying the original price by the decimal form of the percent change.
%(q4a3-h2)%	What is 124 minus -76?	What is 50 minus 10?	What is 104 minus 200?	What is 100 plus 80?	What is 1300 minus 299?	What is 5643 minus 2673?	What is 95000 multiplied by -.28?	What is 40 multiplied by -.55?
								
%(q4a4-h1)%	The value for the amount of change in Damien's account is -76. The value for the savings at the beginning of the month is 200. What is the percent change in Damien's account?	The value for the change in mph is 10. The value for the original mph is 40. What is the percent change in mph?	The value for the change in plants is -96. The value for last year's crops is 200. What is the percentage of change?	The value for the change in price is $80. The value for the opening price is $100. What is the percentage of change?	The value for the change in milligrams is -1001. The value for the original dosage is 1300. What is the percent change in milligrams?	The value for change in widgets is 2673. The value for starting value is 2970. What is percent change of widgets?	You can find the new population by adding the amount of change to the original population.	You can find the new price by adding the change in price to the original price.
%(q4a4-h2)%	"You can find the percent change by dividing the amount of change, -76, by the savings at the beginning of the month, 200, then multiplying by 100."	"You can find the percent change by dividing the change in mph, 10,  by the orginal speed, 40, then multiplying by 100."	"You can find the percent change by dividing the change in plants, -96, by last year's crops, 200, then multiplying by 100."	"You can find the percent change by dividing the change in price, 80, by the opening price, 100, then multiplying by 100."	"You can find percent change by dividing change in milligrams, -1001, by original dosage, 1300, then multiplying by 100."	"You can find percent change by dividing change in widgets, 2673, by starting value, 2970, then multiplying by 100."	What is 95000 plus -26600?	What is 40 plus -22?
								
								
%(q1a_skName)%	Gvn	Gvn	Gvn	Gvn	Gvn	Gvn	Gvn	Gvn
%(q1a_skLabel)%	Enter given	Enter given	Enter given	Enter given	Enter given	Enter given	Enter given	Enter given
%(q1b_skName)%	Gvn	Gvn	Gvn	Gvn	Gvn	Gvn	Gvn	Gvn
%(q1b_skLabel)%	Enter given	Enter given	Enter given	Enter given	Enter given	Enter given	Enter given	Enter given
%(q1c_skName)%	Gvn	Gvn	Gvn	FindChngVal	FindNewVal	FindChngVal	FindChngVal	FindOrgVal
%(q1c_skLabel)%	Enter given	Enter given	Enter given	Find change in value	Find new changed value	Find change in value	Find change in value	Find original value
%(q1d_skName)%	Gvn	Gvn	Gvn	FindNewVal	FindPercent	FindNewVal	FindPercent	FindPercent
%(q1d_skLabel)%	Enter given	Enter given	Enter given	Find new changed value	Find percent change	Find new changed value	Find percent change	Find percent change
								
%(q2a_skName)%	Gvn	Gvn	Gvn	Gvn	Gvn	Gvn	Gvn	Gvn
%(q2a_skLabel)%	Enter given	Enter given	Enter given	Enter given	Enter given	Enter given	Enter given	Enter given
%(q2b_skName)%	Gvn	Gvn	Gvn	Gvn	Gvn	Gvn	Gvn	Gvn
%(q2b_skLabel)%	Enter given	Enter given	Enter given	Enter given	Enter given	Enter given	Enter given	Enter given
%(q2c_skName)%	Gvn	Gvn	Gvn	FindChngVal	FindOrgVal	FindNewVal	FindNewVal	FindChngVal
%(q2c_skLabel)%	Enter given	Enter given	Enter given	Find change in value	Find original value	Find new changed value	Find new changed value	Find change in value
%(q2d_skName)%	Gvn	Gvn	Gvn	FindPercent	FindPercent	FindPercent	FindPercent	FindPercent
%(q2d_skLabel)%	Enter given	Enter given	Enter given	Find percent change	Find percent change	Find percent change	Find percent change	Find percent change
								
%(q3a_skName)%	Gvn	Gvn	Gvn	Gvn	Gvn	Gvn	Gvn	Gvn
%(q3a_skLabel)%	Enter given	Enter given	Enter given	Enter given	Enter given	Enter given	Enter given	Enter given
%(q3b_skName)%	Gvn	Gvn	Gvn	Gvn	Gvn	Gvn	Gvn	Gvn
%(q3b_skLabel)%	Enter given	Enter given	Enter given	Enter given	Enter given	Enter given	Enter given	Enter given
%(q3c_skName)%	Gvn	Gvn	FindChngVal	FindOrgVal	FindChngVal	FindChngVal	FindOrgVal	FindNewVal
%(q3c_skLabel)%	Enter given	Enter given	Find change in value	Find original value	Find change in value	Find change in value	Find original value	Find new changed value
%(q3d_skName)%	Gvn	Gvn	FindNewVal	FindPercent	FindNewVal	FindPercent	FindPercent	FindPercent
%(q3d_skLabel)%	Enter given	Enter given	Find new changed value	Find percent change	Find new changed value	Find percent change	Find percent change	Find percent change
								
%(q4a_skName)%	Gvn	Gvn	Gvn	Gvn	Gvn	Gvn	Gvn	Gvn
%(q4a_skLabel)%	Enter given	Enter given	Enter given	Enter given	Enter given	Enter given	Enter given	Enter given
%(q4b_skName)%	Gvn	Gvn	Gvn	Gvn	Gvn	Gvn	Gvn	Gvn
%(q4b_skLabel)%	Enter given	Enter given	Enter given	Enter given	Enter given	Enter given	Enter given	Enter given
%(q4c_skName)%	Gvn	FindOrgVal	FindChngVal	FindNewVal	FindChngVal	FindOrgVal	FindChngVal	FindChngVal
%(q4c_skLabel)%	Enter given	Find original value	Find change in value	Find new changed value	Find change in value	Find original value	Find change in value	Find change in value
%(q4d_skName)%	Gvn	FindPercent	FindPercent	FindPercent	FindPercent	FindPercent	FindNewVal	FindNewVal
%(q4d_skLabel)%	Enter given	Find percent change	Find percent change	Find percent change	Find percent change	Find percent change	Find new changed value	Find new changed value 
