Problem Name	8.28.1	8.28.2	8.28.3	8.28.4	8.28.5	8.28.6	8.28.7	8.28.8
%(-5909585844169505412)%	The upper 25% of days at the lake are warmer than 90 degrees. What percent of days in the mountains are colder than 90 degrees?	The right whisker represents the top 25% of the distribution. What part of the Shopwell distribution does it line up with?	The line in the middle of the box represents the median value. 50% of the values are above it and 50% are below it. How does the median of Alisha's scores line up with Karen's box and whisker plot?	25% of the daytime trips are shorter than 2 miles. What percentage of the night time trips are longer than 2 miles?	The top 50% of the 12th street distribution is from 85 to 110. What percent of the 8th street distribution is less than 85?	The lower 25% of the waves at Sunset beach are shorter than 4 feet. What percentage of the Sandy Point diistribution is higher than 4 feet.	The box of the mens' scores represents the middle 50%. What percentage of the womens' scores aligns with the box of the mens' scores?	The right edge of the box for Super Cinema represents 75%. Where is the right edge of the box?
%(883902700007334195)%	"The median corresponds to 80 degrees, so 50% of the days the temperature at the lake is at least 80 degrees."	The median to the maximum represents 50% of the pumpkins. The median of the distribution is 9. Enter 9 in the highlighted field.	The left side of the box aligns with 210 on the box and whisker plot. Enter 200 in the highlighted field.	25% of the trips are under 3 miles. Enter 3 in the highlighted field.  	Between 70 and 75 people walk by 8th street on 25% of the days. Please enter 75 in the highlighted field.	"The upper quartile corresponds to 9 feet, so 75% of the waves at Sandy Point Beach are between 3 feet and 9 feet. Please enter 9 in the highlighted field."	75% of the men's scores are below 4 points. Please enter 75 in the highlighted field.	25% of the days at movie world have above 540 attendance? 100%  of the days at Super Cinema are below that number. Please enter 100 in the highlighted field.
%(171737931477493833)%	What percentage of days are warmer than 85 degrees in each distribution?	What part of each distribution is greater than 9 on the number line?	Which bowler has more scores below 200?	What percentage of daytime trips are longer than 3 miles?  What percentage of night time trips are longer than 3 miles?  Which percentage is greater?	What percent of the days have over 85 people walk by in each distribution. Which has the higher percent?	Which beach has more of their box and whisker plot above 7?	What percentage of each team's games did the team score more than 1 point?	What percentage of each theater days have below 360 visitors?  Which theater has a higher percent?
%(2080212792230059832)%	The mountains area has more days that are less than 80 degrees. Please enter mountains in the highlighted field.	Shopwell has a greater percentage of pumpkins over 10 inches tall. Please enter Shopwell in the highlighted field.	Alisha has more scores above 260. Please enter Alisha in the highlighted field.	There are more daytime trips between 2 and 3 miles. Enter daytime into the highlighted field.	The 12th street distribution has more people walking by on a typical day. Please enter 12th street in the highlighted field.	The Sandy Point range is 9. The Sunset Beach range is 4. Please enter Sunset Beach in the highlighted field.	The women's team has a greater percentage of games over 4 points. Please enter women's team in the highlighted field.	Movie world has more days with over 570 guests. Please enter Movie world in the highlighted field.
%(-5909586844177505425)%	The upper 25% of days at the lake are warmer than what temperature? What percent of days in the mountains are colder than that?	What part of the apex distribution represents 25% of the distribution?	Which line on the box and whisker plot represents the diivision between the top 50% from the bottom 50%.	25% of the daytime trips are shorter than what distance?  What percentage of the night time trips are longer than that?	What percent of the 8th street distribution is below the top 50% of the 12th street distribution?	The lower 25% of the waves at Sunset Beach are shorter than what height?  What percent of the waves at Sandy Point beach are higher than that?	What part of the box and whisker plot represents the middle 50% of mens' scores?	What part of the box and whisker plot represents 75?
%(2080213792234059837)%	At the lake 25% of the days are colder than 80 degrees. In the mountains 50% of the days are colder than 80 degrees. Which area has more days that are less than 80 degrees?	Shopwell has 50% of its pumpkins greater than 10 inches tall. Apex has less than 50% of its pumpkins greater than 10 inches tall.  	25% of Alisha's scores are above 260. None of Karen's scores are above 260. Which bowler is more likely to score above 260?	What percentage of the day time trips are between 2 and 3 miles?  What percentage of the night time trips are between 2 and 3 miles?	"The 12 street distribution runs from 70 to 110 people each day, the 8th street distibution runs from 65 to 110 people each day. Which distribution would have more people coming by on a typical day.  "	What are the ranges of the two distributions? Which distribution has the smaller range?	The men's team has 25% of their games with more than 4 points. The women's team has 50% of their games with more than 4 points. Which team has a greater percentage of games over 4 points?	"The super cinema has zero days above 570 guests. It is impossible to see what percent of movie world days has over 570 visitors, but it is clear from the graph that some of them are.  "
%(171735931481493847)%	The lake area has more days that are at least 85 degrees. Enter lake in the highlighted field.	75% of the Shopwell distribution is above 9. Enter Shopwell in the highlighted field.	Alisha has more scores below 200. Please enter Alisha in the highlighted field.	The percentage of night time trips over 3 miles is larger. Please enter 3 in the highlighted field.	The 12th street distribution has a greater percentage of days with over 85 people. Please enter 12th street in the highlighted field.	Sandy point has a greater percentage of waves over 7 feet. Enter Sandy Point in the highlighted field.	The men's team has a higher percentage of games over 1 point. Please enter 1 in the highlighted field.	Super cinema has a greater percentage of days under 360 guests. Please enter super cinema in the highlighted box.
%(883904700003334101)%	In the mountain temperature box-and-whisker plot 100 degrees corresponds to the maximum. 50% of the distribution lies between the maximum and what other line in the graph?	Which line in the box and whisker plot lines up with 15 inches?	Which part of the box and whisker plot represents the bottom of the top 75%?	What value in the nighttime distribution is greater than the bottom 25%?	The value of the right end of the right whisker is 70. What is the other end of the interval that represents 25% of the distribution?	"In this Sandy Point Beach wave height box-and-whisker plot, 3 feet corresponds to the minimum, which is the lower bound of the whole distribution. Exactly 75% of the distribution lies between the minimum and what other line in the graph?"	50% of the women's scores are above what number of points? What percent of the men's scores are below that number?	25% of the days at movie world have above what number of attendance? What percent of the days at Super Cinema are above that number?
%(682241523477398994)%	In the lake temperature box-and-whisker plot 95 degrees corresponds to the maximum. 50% of the distribution lies between the maximum and what other line in the graph?	"In this ShopWell pumpkins box-and-whisker plot, 9 inches corresponds to the left edge of the box. Exactly 50% of the distribution lies between the left edge of the box and what other line in the graph?"	Which part of the box and whisker plot represents the bottom of the top 75%?	What value in the daytime distribution is greater than the bottom 25%?	The value of the right end of the right whisker is 65. What is the other end of the interval that represents 25% of the distribution?	"In this Sunset Beach wave height box-and-whisker plot, 3 feet corresponds to the minimum, which is the lower bound of the whole distribution. Exactly 75% of the distribution lies between the minimum and what other line in the graph?"	What number of scores is 50% away from 2 points on the womens' distribution?	25% of the days at movie world have below what number of attendance? What percent of the days at Super Cinema are above that number?
%(-5166532556208710060)%	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."
%(883901700003334206)%	"25% of the distribution lies between the maximum and the right edge of the box (the 3rd quartile), and another 25% lies between the right edge of the box and the median. Which value in the distribution corresponds to the median?"	15 inches is the maximum pumpkin height at Apex. Which line represents the other end of a 50% interval?	The left side of the box represents the smallest number in the top 75%. What is the value of the left side of the box?	Three is the value that separates the bottom 25% of the trips. 	The right whisker represents 25% of the distribution. One end of the whisker is 70. What is the other end of the whisker?	"25% of the distribution falls between the minimum and the lower bound. And 50% of the distribution falls within the box. So 75% of the distribution falls between the minimum and the right edge of the box, or the upper quartile. Which value in the distribution corresponds to the upper quartile?"	50% of the Women's scores are above 4 points. What percent of the men's scores are below 4 points?	25% of the days at movie world have above 540 attendance?  What percent of the days at Super Cinema are above that number?
%(682244523477398985)%	"25% of the distribution lies between the maximum and the right edge of the box (the 3rd quartile), and another 25% lies between the right edge of the box and the median. Which value in the distribution corresponds to the median?"	"Only 25% of the distribution falls below the left edge of the box, but 50% of the distribution falls in the box. Which value corresponds to the right edge of the box?"	The left side of the box represents the smallest number in the top 75%. What is the value of the left side of the box?	Two is the value that separates the bottom 25% of the trips. 	The right whisker represents 25% of the distribution. One end of the whisker is 65. What is the other end of the whisker?	"25% of the distribution falls between the minimum and the lower bound. And 50% of the distribution falls within the box. So 75% of the distribution falls between the minimum and the right edge of the box, or the upper quartile. Which value in the distribution corresponds to the upper quartile?"	The box represents the middle 50% of the distribution. The smaller number of points is 2. What is the highest number of points in the middle 50%?	25% of the days at movie world have below 360 attendance? What percent of the days at Super Cinema are above that number?
