Problem Name	Problem1	Problem2	Problem3	Problem4	Problem5	Problem6	Problem7	Problem8	Problem9	Problem10
%(q2hint4c3)%	(10*6) + 20 = 60 + 20 = 80. Type '%(ans2)%' in the highlighted field.	(80/4) + 150 = 20 + 150 = 170. Type '%(ans2)%' in the highlighted field.	(10*200) - 1200 = 2000 - 1200 = 800. Type '%(ans2)%' in the highlighted field.	(3*5) + 3 = 15 + 3 = 18. Type '%(ans2)%' in the highlighted field.	(260/13) - 3 = 20 - 3 = 17. Type '%(ans2)%' in the highlighted field.	(20*5) - 50 = 100 - 50 = 50. Type '%(ans2)%' in the highlighted field.	(120*2) + 1300 = 240 + 1300 = 1540. Type '%(ans2)%' in the highlighted field.	(12*1.50) + 16 = 18 + 16 = 34. Type '%(ans2)%' in the highlighted field.	(52*6) - 33 = 312 - 33 = 279. Type '%(ans2)%' in the highlighted field.	(138/3) - 12 = 46 - 12 = 34. Type '%(ans2)%' in the highlighted field.
										
%(q3hint1c1)%	For question 3, you have not yet entered a given value. Look at the question. What do you already know from the question?	For question 3, you have not yet entered a given value. Look at the question. What do you already know from the question?	For question 3, you have not yet entered a given value. Look at the question. What do you already know from the question?	For question 3, you have not yet entered a given value. Look at the question. What do you already know from the question?	For question 3, you have not yet entered a given value. Look at the question. What do you already know from the question?	For question 3, you have not yet entered a given value. Look at the question. What do you already know from the question?	For question 3, you have not yet entered a given value. Look at the question. What do you already know from the question?	For question 3, you have not yet entered a given value. Look at the question. What do you already know from the question?	For question 3, you have not yet entered a given value. Look at the question. What do you already know from the question?	For question 3, you have not yet entered a given value. Look at the question. What do you already know from the question?
%(q3hint2c1)%	A given value in this question represents the %(quan1)%. Please type this given value into the correct place in the table.	A given value in this question represents the %(quan1)%. Please type this given value into the correct place in the table.	A given value in this question represents the %(quan1)%. Please type this given value into the correct place in the table.	A given value in this question represents the %(quan1)%. Please type this given value into the correct place in the table.	A given value in this question represents the %(quan1)%. Please type this given value into the correct place in the table.	A given value in this question represents the %(quan1)%. Please type this given value into the correct place in the table.	A given value in this question represents the %(quan1)%. Please type this given value into the correct place in the table.	A given value in this question represents the %(quan1)%. Please type this given value into the correct place in the table.	A given value in this question represents the %(quan1)%. Please type this given value into the correct place in the table.	A given value in this question represents the %(quan1)%. Please type this given value into the correct place in the table.
%(q3hint3c1)%	Type '%(given3)%' in the highlighted field.	Type '%(given3)%' in the highlighted field.	Type '%(given3)%' in the highlighted field.	Type '%(given3)%' in the highlighted field.	Type '%(given3)%' in the highlighted field.	Type '%(given3)%' in the highlighted field.	Type '%(given3)%' in the highlighted field.	Type '%(given3)%' in the highlighted field.	Type '%(given3)%' in the highlighted field.	Type '%(given3)%' in the highlighted field.
										
%(hint1sw3)%	Please write a numerical expression that shows how to compute the %(quan2)% when the %(quan1)% is %(given3)%.	Please write a numerical expression that shows how to compute the %(quan2)% when the %(quan1)% is %(given3)%.	Please write a numerical expression that shows how to compute the %(quan2)% when the %(quan1)% is %(given3)%.	Please write a numerical expression that shows how to compute the %(quan2)% when the %(quan1)% is %(given3)%.	Please write a numerical expression that shows how to compute the %(quan2)% when the %(quan1)% is %(given3)%.	Please write a numerical expression that shows how to compute the %(quan2)% when the %(quan1)% is %(given3)%.	Please write a numerical expression that shows how to compute the %(quan2)% when the %(quan1)% is %(given3)%.	Please write a numerical expression that shows how to compute the %(quan2)% when the %(quan1)% is %(given3)%.	Please write a numerical expression that shows how to compute the %(quan2)% when the %(quan1)% is %(given3)%.	Please write a numerical expression that shows how to compute the %(quan2)% when the %(quan1)% is %(given3)%.
%(hint2sw3)%	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given3)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you write this expression?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given3)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you write this expression?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given3)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you write this expression?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given3)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you write this expression?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given3)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you write this expression?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given3)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you write this expression?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given3)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you write this expression?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given3)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you write this expression?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given3)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you write this expression?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given3)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you write this expression?
%(hint3sw3)%	Please type %(exp3)% into the highlighted field.	Please type %(exp3)% into the highlighted field.	Please type %(exp3)% into the highlighted field.	Please type %(exp3)% into the highlighted field.	Please type %(exp3)% into the highlighted field.	Please type %(exp3)% into the highlighted field.	Please type %(exp3)% into the highlighted field.	Please type %(exp3)% into the highlighted field.	Please type %(exp3)% into the highlighted field.	Please type %(exp3)% into the highlighted field.
										
%(q3hint1c3)%	You need to compute the %(quan2)%. This answer depends on %(quan3)%, the %(quan1)%, and %(quan4)%. Can you find the %(quan2)% from these numbers?	You need to compute the %(quan2)%. This answer depends on %(quan3)%, the %(quan1)%, and %(quan4)%. Can you find the %(quan2)% from these numbers?	You need to compute the %(quan2)%. This answer depends on %(quan3)%, the %(quan1)%, and %(quan4)%. Can you find the %(quan2)% from these numbers?	You need to compute the %(quan2)%. This answer depends on %(quan3)%, the %(quan1)%, and %(quan4)%. Can you find the %(quan2)% from these numbers?	You need to compute the %(quan2)%. This answer depends on %(quan3)%, the %(quan1)%, and %(quan4)%. Can you find the %(quan2)% from these numbers?	You need to compute the %(quan2)%. This answer depends on %(quan3)%, the %(quan1)%, and %(quan4)%. Can you find the %(quan2)% from these numbers?	You need to compute the %(quan2)%. This answer depends on %(quan3)%, the %(quan1)%, and %(quan4)%. Can you find the %(quan2)% from these numbers?	You need to compute the %(quan2)%. This answer depends on %(quan3)%, the %(quan1)%, and %(quan4)%. Can you find the %(quan2)% from these numbers?	You need to compute the %(quan2)%. This answer depends on %(quan3)%, the %(quan1)%, and %(quan4)%. Can you find the %(quan2)% from these numbers?	You need to compute the %(quan2)%. This answer depends on %(quan3)%, the %(quan1)%, and %(quan4)%. Can you find the %(quan2)% from these numbers?
%(q3hint2c3)%	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given3)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you calculate and write this number?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given3)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you calculate and write this number?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given3)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you calculate and write this number?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given3)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you calculate and write this number?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given3)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you calculate and write this number?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given3)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you calculate and write this number?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given3)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you calculate and write this number?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given3)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you calculate and write this number?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given3)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you calculate and write this number?	The %(quan2)% is the sum of two things: %(factor)% (%(quan3)%) multiplied by %(given3)% (%(quan1)%) plus %(constant)% (%(quan4)%). Can you calculate and write this number?
%(q3hint3c3)%	The %(quan2)% equals %(exp3)%. Evaluate this expression.	The %(quan2)% equals %(exp3)%. Evaluate this expression.	The %(quan2)% equals %(exp3)%. Evaluate this expression.	The %(quan2)% equals %(exp3)%. Evaluate this expression.	The %(quan2)% equals %(exp3)%. Evaluate this expression.	The %(quan2)% equals %(exp3)%. Evaluate this expression.	The %(quan2)% equals %(exp3)%. Evaluate this expression.	The %(quan2)% equals %(exp3)%. Evaluate this expression.	The %(quan2)% equals %(exp3)%. Evaluate this expression.	The %(quan2)% equals %(exp3)%. Evaluate this expression.
%(q3hint4c3)%	(10*7) + 20 = 70 + 20 = 90. Type '%(ans3)%' in the highlighted field.	(100/4) + 150 = 25 + 250 = 275. Type '%(ans3)%' in the highlighted field.	(10*220) - 1200 = 2200 - 1200 = 1000. Type '%(ans3)%' in the highlighted field.	(4*5) + 3 = 20 + 3 = 23. Type '%(ans3)%' in the highlighted field.	(520/13) - 3 = 40 - 3 = 37. Type '%(ans3)%' in the highlighted field.	(30*5) - 50 = 150 - 50 = 100. Type '%(ans3)%' in the highlighted field.	(260*2) + 1300 = 520 + 1300 = 1820. Type '%(ans3)%' in the highlighted field.	(20*1.50) + 16 = 30 + 16 = 46. Type '%(ans3)%' in the highlighted field.	(67*6) - 33 = 402 - 33 = 369. Type '%(ans3)%' in the highlighted field.	(300/3) - 12 = 100 - 12 = 88. Type '%(ans3)%' in the highlighted field.
										
%(q4hint1c1)%	For question 4, you have not yet entered a given value. Look at the question. What do you already know from the question?	For question 4, you have not yet entered a given value. Look at the question. What do you already know from the question?	For question 4, you have not yet entered a given value. Look at the question. What do you already know from the question?	For question 4, you have not yet entered a given value. Look at the question. What do you already know from the question?	For question 4, you have not yet entered a given value. Look at the question. What do you already know from the question?	For question 4, you have not yet entered a given value. Look at the question. What do you already know from the question?	For question 4, you have not yet entered a given value. Look at the question. What do you already know from the question?	For question 4, you have not yet entered a given value. Look at the question. What do you already know from the question?	For question 4, you have not yet entered a given value. Look at the question. What do you already know from the question?	For question 4, you have not yet entered a given value. Look at the question. What do you already know from the question?
%(q4hint2c1)%	A given value in this question represents the %(quan2)%. Please type this given value into the correct place in the table.	A given value in this question represents the %(quan2)%. Please type this given value into the correct place in the table.	A given value in this question represents the %(quan2)%. Please type this given value into the correct place in the table.	A given value in this question represents the %(quan2)%. Please type this given value into the correct place in the table.	A given value in this question represents the %(quan2)%. Please type this given value into the correct place in the table.	A given value in this question represents the %(quan2)%. Please type this given value into the correct place in the table.	A given value in this question represents the %(quan2)%. Please type this given value into the correct place in the table.	A given value in this question represents the %(quan2)%. Please type this given value into the correct place in the table.	A given value in this question represents the %(quan2)%. Please type this given value into the correct place in the table.	A given value in this question represents the %(quan2)%. Please type this given value into the correct place in the table.
%(q4hint3c1)%	Type '%(given4)%' in the highlighted field.	Type '%(given4)%' in the highlighted field.	Type '%(given4)%' in the highlighted field.	Type '%(given4)%' in the highlighted field.	Type '%(given4)%' in the highlighted field.	Type '%(given4)%' in the highlighted field.	Type '%(given4)%' in the highlighted field.	Type '%(given4)%' in the highlighted field.	Type '%(given4)%' in the highlighted field.	Type '%(given4)%' in the highlighted field.
										
%(hint1sw4)%	Please write a numerical expression that shows how to compute the %(quan1)% when the %(quan2)% is %(given4)%.	Please write a numerical expression that shows how to compute the %(quan1)% when the %(quan2)% is %(given4)%.	Please write a numerical expression that shows how to compute the %(quan1)% when the %(quan2)% is %(given4)%.	Please write a numerical expression that shows how to compute the %(quan1)% when the %(quan2)% is %(given4)%.	Please write a numerical expression that shows how to compute the %(quan1)% when the %(quan2)% is %(given4)%.	Please write a numerical expression that shows how to compute the %(quan1)% when the %(quan2)% is %(given4)%.	Please write a numerical expression that shows how to compute the %(quan1)% when the %(quan2)% is %(given4)%.	Please write a numerical expression that shows how to compute the %(quan1)% when the %(quan2)% is %(given4)%.	Please write a numerical expression that shows how to compute the %(quan1)% when the %(quan2)% is %(given4)%.	Please write a numerical expression that shows how to compute the %(quan1)% when the %(quan2)% is %(given4)%.
%(hint2sw4)%	The %(quan1)% is the quotient of two things: %(given4)% (%(quan2)%) minus %(constant)% (%(quan4)%) divided by %(factor)% (%(quan3)%). Can you write this expression?	The %(quan1)% is the quotient of two things: %(given4)% (%(quan2)%) minus %(constant)% (%(quan4)%) divided by %(factor)% (%(quan3)%). Can you write this expression?	The %(quan1)% is the quotient of two things: %(given4)% (%(quan2)%) minus %(constant)% (%(quan4)%) divided by %(factor)% (%(quan3)%). Can you write this expression?	The %(quan1)% is the quotient of two things: %(given4)% (%(quan2)%) minus %(constant)% (%(quan4)%) divided by %(factor)% (%(quan3)%). Can you write this expression?	The %(quan1)% is the quotient of two things: %(given4)% (%(quan2)%) minus %(constant)% (%(quan4)%) divided by %(factor)% (%(quan3)%). Can you write this expression?	The %(quan1)% is the quotient of two things: %(given4)% (%(quan2)%) minus %(constant)% (%(quan4)%) divided by %(factor)% (%(quan3)%). Can you write this expression?	The %(quan1)% is the quotient of two things: %(given4)% (%(quan2)%) minus %(constant)% (%(quan4)%) divided by %(factor)% (%(quan3)%). Can you write this expression?	The %(quan1)% is the quotient of two things: %(given4)% (%(quan2)%) minus %(constant)% (%(quan4)%) divided by %(factor)% (%(quan3)%). Can you write this expression?	The %(quan1)% is the quotient of two things: %(given4)% (%(quan2)%) minus %(constant)% (%(quan4)%) divided by %(factor)% (%(quan3)%). Can you write this expression?	The %(quan1)% is the quotient of two things: %(given4)% (%(quan2)%) minus %(constant)% (%(quan4)%) divided by %(factor)% (%(quan3)%). Can you write this expression?
%(hint3sw4)%	Please type %(exp4)% into the highlighted field.	Please type %(exp4)% into the highlighted field.	Please type %(exp4)% into the highlighted field.	Please type %(exp4)% into the highlighted field.	Please type %(exp4)% into the highlighted field.	Please type %(exp4)% into the highlighted field.	Please type %(exp4)% into the highlighted field.	Please type %(exp4)% into the highlighted field.	Please type %(exp4)% into the highlighted field.	Please type %(exp4)% into the highlighted field.
										
%(q4hint1c3)%	You need to compute the %(quan1)%. This answer depends on %(quan3)%, %(quan4)%, and the %(quan2)%. Can you find the %(quan1)% from these numbers?	You need to compute the %(quan1)%. This answer depends on %(quan3)%, %(quan4)%, and the %(quan2)%. Can you find the %(quan1)% from these numbers?	You need to compute the %(quan1)%. This answer depends on %(quan3)%, %(quan4)%, and the %(quan2)%. Can you find the %(quan1)% from these numbers?	You need to compute the %(quan1)%. This answer depends on %(quan3)%, %(quan4)%, and the %(quan2)%. Can you find the %(quan1)% from these numbers?	You need to compute the %(quan1)%. This answer depends on %(quan3)%, %(quan4)%, and the %(quan2)%. Can you find the %(quan1)% from these numbers?	You need to compute the %(quan1)%. This answer depends on %(quan3)%, %(quan4)%, and the %(quan2)%. Can you find the %(quan1)% from these numbers?	You need to compute the %(quan1)%. This answer depends on %(quan3)%, %(quan4)%, and the %(quan2)%. Can you find the %(quan1)% from these numbers?	You need to compute the %(quan1)%. This answer depends on %(quan3)%, %(quan4)%, and the %(quan2)%. Can you find the %(quan1)% from these numbers?	You need to compute the %(quan1)%. This answer depends on %(quan3)%, %(quan4)%, and the %(quan2)%. Can you find the %(quan1)% from these numbers?	You need to compute the %(quan1)%. This answer depends on %(quan3)%, %(quan4)%, and the %(quan2)%. Can you find the %(quan1)% from these numbers?
%(q4hint2c3)%	The %(quan1)% is the quotient of two things: %(given4)% (%(quan2)%) minus %(constant)% (%(quan4)%) divided by %(factor)% (%(quan3)%). Can you calculate and write this number?	The %(quan1)% is the quotient of two things: %(given4)% (%(quan2)%) minus %(constant)% (%(quan4)%) divided by %(factor)% (%(quan3)%). Can you calculate and write this number?	The %(quan1)% is the quotient of two things: %(given4)% (%(quan2)%) minus %(constant)% (%(quan4)%) divided by %(factor)% (%(quan3)%). Can you calculate and write this number?	The %(quan1)% is the quotient of two things: %(given4)% (%(quan2)%) minus %(constant)% (%(quan4)%) divided by %(factor)% (%(quan3)%). Can you calculate and write this number?	The %(quan1)% is the quotient of two things: %(given4)% (%(quan2)%) minus %(constant)% (%(quan4)%) divided by %(factor)% (%(quan3)%). Can you calculate and write this number?	The %(quan1)% is the quotient of two things: %(given4)% (%(quan2)%) minus %(constant)% (%(quan4)%) divided by %(factor)% (%(quan3)%). Can you calculate and write this number?	The %(quan1)% is the quotient of two things: %(given4)% (%(quan2)%) minus %(constant)% (%(quan4)%) divided by %(factor)% (%(quan3)%). Can you calculate and write this number?	The %(quan1)% is the quotient of two things: %(given4)% (%(quan2)%) minus %(constant)% (%(quan4)%) divided by %(factor)% (%(quan3)%). Can you calculate and write this number?	The %(quan1)% is the quotient of two things: %(given4)% (%(quan2)%) minus %(constant)% (%(quan4)%) divided by %(factor)% (%(quan3)%). Can you calculate and write this number?	The %(quan1)% is the quotient of two things: %(given4)% (%(quan2)%) minus %(constant)% (%(quan4)%) divided by %(factor)% (%(quan3)%). Can you calculate and write this number?
%(q4hint3c3)%	The %(quan1)% equals %(exp4)%. Evaluate this expression.	The %(quan1)% equals %(exp4)%. Evaluate this expression.	The %(quan1)% equals %(exp4)%. Evaluate this expression.	The %(quan1)% equals %(exp4)%. Evaluate this expression.	The %(quan1)% equals %(exp4)%. Evaluate this expression.	The %(quan1)% equals %(exp4)%. Evaluate this expression.	The %(quan1)% equals %(exp4)%. Evaluate this expression.	The %(quan1)% equals %(exp4)%. Evaluate this expression.	The %(quan1)% equals %(exp4)%. Evaluate this expression.	The %(quan1)% equals %(exp4)%. Evaluate this expression.
%(q4hint4c3)%	(200-20)/10 = 180/10 = 18. Type '%(ans4)%' in the highlighted field.	(200-150)*4 = 50*4 = 200. Type '%(ans4)%' in the highlighted field.	(1800+1200)/10 = 3000/10 = 300. Type '%(ans4)%' in the highlighted field.	(33-3)/5 = 30/5 = 6. Type '%(ans4)%' in the highlighted field.	(47+3)*13 = 50*13 = 650. Type '%(ans4)%' in the highlighted field.	(200+50)/5 = 250/5 = 50. Type '%(ans4)%' in the highlighted field.	(2150-1300)/2 = 750/2 = 375. Type '%(ans4)%' in the highlighted field.	(58-16)/1.50 = 42/1.50 = 28. Type '%(ans4)%' in the highlighted field.	(483+33)/6 = 516/6 = 86. Type '%(ans4)%' in the highlighted field.	(146+12)*3 = 158*3 = 474. Type '%(ans4)%' in the highlighted field.
										
%(q5hint1c1)%	Read the last sentence in the problem statement. Do you represent the %(quan1)% as a variable or an expression?	Read the last sentence in the problem statement. Do you represent the %(quan1)% as a variable or an expression?	Read the last sentence in the problem statement. Do you represent the %(quan1)% as a variable or an expression?	Read the last sentence in the problem statement. Do you represent the %(quan1)% as a variable or an expression?	Read the last sentence in the problem statement. Do you represent the %(quan1)% as a variable or an expression?	Read the last sentence in the problem statement. Do you represent the %(quan1)% as a variable or an expression?	Read the last sentence in the problem statement. Do you represent the %(quan1)% as a variable or an expression?	Read the last sentence in the problem statement. Do you represent the %(quan1)% as a variable or an expression?	Read the last sentence in the problem statement. Do you represent the %(quan1)% as a variable or an expression?	Read the last sentence in the problem statement. Do you represent the %(quan1)% as a variable or an expression?
%(q5hint2c1)%	Please represent the %(quan1)% with a variable, x.	Please represent the %(quan1)% with a variable, x.	Please represent the %(quan1)% with a variable, x.	Please represent the %(quan1)% with a variable, x.	Please represent the %(quan1)% with a variable, x.	Please represent the %(quan1)% with a variable, x.	Please represent the %(quan1)% with a variable, x.	Please represent the %(quan1)% with a variable, x.	Please represent the %(quan1)% with a variable, x.	Please represent the %(quan1)% with a variable, x.
%(q5hint3c1)%	Type 'x' in the highlighted field.	Type 'x' in the highlighted field.	Type 'x' in the highlighted field.	Type 'x' in the highlighted field.	Type 'x' in the highlighted field.	Type 'x' in the highlighted field.	Type 'x' in the highlighted field.	Type 'x' in the highlighted field.	Type 'x' in the highlighted field.	Type 'x' in the highlighted field.
										
%(q5hint1exp)%	When the %(quan1)% was %(given1)%, you used %(exp1)% to find the %(quan2)%. When the %(quan1)% is <%=link25.input%>, how do you find the %(quan2)%?	When the %(quan1)% was %(given1)%, you used %(exp1)% to find the %(quan2)%. When the %(quan1)% is <%=link25.input%>, how do you find the %(quan2)%?	When the %(quan1)% was %(given1)%, you used %(exp1)% to find the %(quan2)%. When the %(quan1)% is <%=link25.input%>, how do you find the %(quan2)%?	When the %(quan1)% was %(given1)%, you used %(exp1)% to find the %(quan2)%. When the %(quan1)% is <%=link25.input%>, how do you find the %(quan2)%?	When the %(quan1)% was %(given1)%, you used %(exp1)% to find the %(quan2)%. When the %(quan1)% is <%=link25.input%>, how do you find the %(quan2)%?	When the %(quan1)% was %(given1)%, you used %(exp1)% to find the %(quan2)%. When the %(quan1)% is <%=link25.input%>, how do you find the %(quan2)%?	When the %(quan1)% was %(given1)%, you used %(exp1)% to find the %(quan2)%. When the %(quan1)% is <%=link25.input%>, how do you find the %(quan2)%?	When the %(quan1)% was %(given1)%, you used %(exp1)% to find the %(quan2)%. When the %(quan1)% is <%=link25.input%>, how do you find the %(quan2)%?	When the %(quan1)% was %(given1)%, you used %(exp1)% to find the %(quan2)%. When the %(quan1)% is <%=link25.input%>, how do you find the %(quan2)%?	When the %(quan1)% was %(given1)%, you used %(exp1)% to find the %(quan2)%. When the %(quan1)% is <%=link25.input%>, how do you find the %(quan2)%?
%(q5hint2exp)%	If the %(quan1)% = %(given1)%, then the %(quan2)% = %(exp1)%. If the %(quan1)% = <%=link25.input%>, then the %(quan2)% = _____?	If the %(quan1)% = %(given1)%, then the %(quan2)% = %(exp1)%. If the %(quan1)% = <%=link25.input%>, then the %(quan2)% = _____?	If the %(quan1)% = %(given1)%, then the %(quan2)% = %(exp1)%. If the %(quan1)% = <%=link25.input%>, then the %(quan2)% = _____?	If the %(quan1)% = %(given1)%, then the %(quan2)% = %(exp1)%. If the %(quan1)% = <%=link25.input%>, then the %(quan2)% = _____?	If the %(quan1)% = %(given1)%, then the %(quan2)% = %(exp1)%. If the %(quan1)% = <%=link25.input%>, then the %(quan2)% = _____?	If the %(quan1)% = %(given1)%, then the %(quan2)% = %(exp1)%. If the %(quan1)% = <%=link25.input%>, then the %(quan2)% = _____?	If the %(quan1)% = %(given1)%, then the %(quan2)% = %(exp1)%. If the %(quan1)% = <%=link25.input%>, then the %(quan2)% = _____?	If the %(quan1)% = %(given1)%, then the %(quan2)% = %(exp1)%. If the %(quan1)% = <%=link25.input%>, then the %(quan2)% = _____?	If the %(quan1)% = %(given1)%, then the %(quan2)% = %(exp1)%. If the %(quan1)% = <%=link25.input%>, then the %(quan2)% = _____?	If the %(quan1)% = %(given1)%, then the %(quan2)% = %(exp1)%. If the %(quan1)% = <%=link25.input%>, then the %(quan2)% = _____?
%(q5hint3exp)%	If the %(quan1)% = %(given1)%, then the %(quan2)% = %(exp1)%. Now the %(quan1)% = <%=link25.input%>, so replace %(given1)% with <%=link25.input%> in the expression %(exp1)% to get <%=link25.input%>%(expression)%.	If the %(quan1)% = %(given1)%, then the %(quan2)% = %(exp1)%. Now the %(quan1)% = <%=link25.input%>, so replace %(given1)% with <%=link25.input%> in the expression %(exp1)% to get <%=link25.input%>%(expression)%.	If the %(quan1)% = %(given1)%, then the %(quan2)% = %(exp1)%. Now the %(quan1)% = <%=link25.input%>, so replace %(given1)% with <%=link25.input%> in the expression %(exp1)% to get <%=link25.input%>%(expression)%.	If the %(quan1)% = %(given1)%, then the %(quan2)% = %(exp1)%. Now the %(quan1)% = <%=link25.input%>, so replace %(given1)% with <%=link25.input%> in the expression %(exp1)% to get <%=link25.input%>%(expression)%.	If the %(quan1)% = %(given1)%, then the %(quan2)% = %(exp1)%. Now the %(quan1)% = <%=link25.input%>, so replace %(given1)% with <%=link25.input%> in the expression %(exp1)% to get <%=link25.input%>%(expression)%.	If the %(quan1)% = %(given1)%, then the %(quan2)% = %(exp1)%. Now the %(quan1)% = <%=link25.input%>, so replace %(given1)% with <%=link25.input%> in the expression %(exp1)% to get <%=link25.input%>%(expression)%.	If the %(quan1)% = %(given1)%, then the %(quan2)% = %(exp1)%. Now the %(quan1)% = <%=link25.input%>, so replace %(given1)% with <%=link25.input%> in the expression %(exp1)% to get <%=link25.input%>%(expression)%.	If the %(quan1)% = %(given1)%, then the %(quan2)% = %(exp1)%. Now the %(quan1)% = <%=link25.input%>, so replace %(given1)% with <%=link25.input%> in the expression %(exp1)% to get <%=link25.input%>%(expression)%.	If the %(quan1)% = %(given1)%, then the %(quan2)% = %(exp1)%. Now the %(quan1)% = <%=link25.input%>, so replace %(given1)% with <%=link25.input%> in the expression %(exp1)% to get <%=link25.input%>%(expression)%.	If the %(quan1)% = %(given1)%, then the %(quan2)% = %(exp1)%. Now the %(quan1)% = <%=link25.input%>, so replace %(given1)% with <%=link25.input%> in the expression %(exp1)% to get <%=link25.input%>%(expression)%.
%(q5hint4exp)%	Type <%=link25.input%>%(expression)% in the highlighted field.	Type <%=link25.input%>%(expression)% in the highlighted field.	Type <%=link25.input%>%(expression)% in the highlighted field.	Type <%=link25.input%>%(expression)% in the highlighted field.	Type <%=link25.input%>%(expression)% in the highlighted field.	Type <%=link25.input%>%(expression)% in the highlighted field.	Type <%=link25.input%>%(expression)% in the highlighted field.	Type <%=link25.input%>%(expression)% in the highlighted field.	Type <%=link25.input%>%(expression)% in the highlighted field.	Type <%=link25.input%>%(expression)% in the highlighted field.
										
%(skill_g1)%	Enter_a_given_x_value	Enter_a_given_x_value	Enter_a_given_x_value	Enter_a_given_x_value	Enter_a_given_x_value	Enter_a_given_x_value	Enter_a_given_x_value	Enter_a_given_x_value	Enter_a_given_x_value	Enter_a_given_x_value
%(skill_g2)%	Enter_a_given_x_value	Enter_a_given_x_value	Enter_a_given_x_value	Enter_a_given_x_value	Enter_a_given_x_value	Enter_a_given_x_value	Enter_a_given_x_value	Enter_a_given_x_value	Enter_a_given_x_value	Enter_a_given_x_value
%(skill_g3)%	Enter_a_given_x_value	Enter_a_given_x_value	Enter_a_given_x_value	Enter_a_given_x_value	Enter_a_given_x_value	Enter_a_given_x_value	Enter_a_given_x_value	Enter_a_given_x_value	Enter_a_given_x_value	Enter_a_given_x_value
%(skill_g4)%	Enter_a_given_y_value	Enter_a_given_y_value	Enter_a_given_y_value	Enter_a_given_y_value	Enter_a_given_y_value	Enter_a_given_y_value	Enter_a_given_y_value	Enter_a_given_y_value	Enter_a_given_y_value	Enter_a_given_y_value
%(skill_e1)%	Show_your_work	Show_your_work	Show_your_work	Show_your_work	Show_your_work	Show_your_work	Show_your_work	Show_your_work	Show_your_work	Show_your_work
%(skill_e2)%	Show_your_work	Show_your_work	Show_your_work	Show_your_work	Show_your_work	Show_your_work	Show_your_work	Show_your_work	Show_your_work	Show_your_work
%(skill_e3)%	Show_your_work	Show_your_work	Show_your_work	Show_your_work	Show_your_work	Show_your_work	Show_your_work	Show_your_work	Show_your_work	Show_your_work
%(skill_e4)%	Show_your_work	Show_your_work	Show_your_work	Show_your_work	Show_your_work	Show_your_work	Show_your_work	Show_your_work	Show_your_work	Show_your_work
%(skill_a1)%	Calculate_a_y_value_from_an_x_value	Calculate_a_y_value_from_an_x_value	Calculate_a_y_value_from_an_x_value	Calculate_a_y_value_from_an_x_value	Calculate_a_y_value_from_an_x_value	Calculate_a_y_value_from_an_x_value	Calculate_a_y_value_from_an_x_value	Calculate_a_y_value_from_an_x_value	Calculate_a_y_value_from_an_x_value	Calculate_a_y_value_from_an_x_value
