Problem Name	Intro_problem	Problem1	Problem2	Problem3	Problem4	Problem5	Problem6	Problem7	Problem8	Problem9	Problem10
%(Ans4b_hint2)%	The variable 'g' stands for the guests that show up. Please substitute 9 for the variable 'g' in the algebraic expression 2g + 4.	The variable 'x' stands for the number of CDs. Please substitute 4 for the variable 'x' in the algebraic expression 8x+12.	The variable 'd' stands for the number of dogs walked. Please substitute 5 for the variable 'd' in the algebraic expression 15d - 30.	The variable 'f' stands for the number of friends that Alice is bringing cookies for. Please substitute 10 for the variable 'f' in the algebraic expression 6f + 12.	The variable 'w' stands for the number of weeks Danny saved up for. Please substitute 6 for the variable 'w' in the algebraic expression 5w + 14.	The variable 'r' stands for the number of rides Emily went on. Please substitute 25 for the variable 'r' in the algebraic expression 4r + 20.	The variable 'p' stands for the prize money. Please substitute 1000 for the variable 'p' in the algebraic expression p/10 - 5.	The variable 'a' stands for the allowance Susie is given. Please substitute 300 for the variable 'a' in the algebraic expression a/5 + 20.	The variable 'p' stands for the grand prize money. Please substitute 1000 for the variable 'p' in the algebraic expression p/4 - 25.	The variable 'b' stands for the number of boxes sold by the cadets. Please substitute 30 for the variable 'b' in the algebraic expression 10b + 200.	The variable 'c' stands for the number of cards Bobby gets. Please substitute 60 for the variable 'c' in the algebraic expression c/3 + 500.
%(Ans4b_hint3)%	"When you substitute 9 for 'g' in the algebraic equation 2g + 4, you get the numerical expression 2(9) + 4. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 4 for 'x' in the algebraic equation 8x+12, you get the numerical expression 8(4)+12. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 5 for 'd' in the algebraic equation 15d - 30, you get the numerical expression 15(5)-30. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 10 for 'f' in the algebraic equation 6f + 12, you get the numerical expression 6(10)+12. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 6 for 'w' in the algebraic equation 5w + 14, you get the numerical expression 5(6)+14. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 25 for 'r' in the algebraic equation 4r + 20, you get the numerical expression 4(25)+20. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 1000 for 'p' in the algebraic equation p/10 - 5, you get the numerical expression (1000)/10-5. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 300 for 'a' in the algebraic equation a/5 + 20, you get the numerical expression (300)/5+20. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 1000 for 'p' in the algebraic equation p/4 - 25, you get the numerical expression (1000)/4-25. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 30 for 'b' in the algebraic equation 10b + 200, you get the numerical expression10(30)+20. Please do the arithmetic and enter the answer in the highlighted cell."	"When you substitute 60 for 'c' in the algebraic equation c/3 + 500, you get the numerical expression (60)/3+500. Please do the arithmetic and enter the answer in the highlighted cell."
%(Ans4b_hint4)%	Please type '22' in the highlighted field.	Try entering '44' in the highlighted field.	Try entering '45' in the highlighted field.	Try entering '72' in the highlighted field.	Try entering '44' in the highlighted field.	Try entering '120' in the highlighted field.	Try entering '95' in the highlighted field.	Try entering '80' in the highlighted field.	Try entering '275' in the highlighted field.	Try entering '500' in the highlighted field.	Try entering '520' in the highlighted field.
%(DONE_hint1)%	Great job! You've successfully completed this problem!	Great job! You've successfully completed this problem!	Great job! You've successfully completed this problem!	Great job! You've successfully completed this problem!	Great job! You've successfully completed this problem!	Great job! You've successfully completed this problem!	Great job! You've successfully completed this problem!	Great job! You've successfully completed this problem!	Great job! You've successfully completed this problem!	Great job! You've successfully completed this problem!	Great job! You've successfully completed this problem!
%(DONE_hint2)%	"Please proceed to the next problem by clicking the ""Done"" button."	"Please proceed to the next problem by clicking the ""Done"" button."	"Please proceed to the next problem by clicking the ""Done"" button."	"Please proceed to the next problem by clicking the ""Done"" button."	"Please proceed to the next problem by clicking the ""Done"" button."	"Please proceed to the next problem by clicking the ""Done"" button."	"Please proceed to the next problem by clicking the ""Done"" button."	"Please proceed to the next problem by clicking the ""Done"" button."	"Please proceed to the next problem by clicking the ""Done"" button."	"Please proceed to the next problem by clicking the ""Done"" button."	"Please proceed to the next problem by clicking the ""Done"" button."

%(bug1)%	6	8	30	12	5	4	50	20	50	100	3
%(bug2)%	10	16	45	30	15	8	60	30	100	150	6
%(bug3)%	14	24	60	48	20	40	80	40	200	200	10
%(bug4)%	18	32	75	60	30	100	100	60	300	300	20
%(buggy)%	You forgot to add the original 4 people to your calculations. Please try again.	You forgot to add the original $12 charge to your calculations. Please try again.	You forgot to subtract the original $30 that Andy needs to pay back to his parents to your calculations. Please try again.	You forgot to add the original 12 cookies to your calculations. Please try again.	You forgot to add the original $14 to your calculations. Please try again.	You forgot to add the original 20 tickets that Emily used to get into the park to your calculations. Please try again.	You forgot to subtract the original $5 each student contributed from your calculations. Please try again.	You forgot to add the original $20 Susie collected to your calculations. Please try again.	You forgot to subtract the original $25 for the ticket to the game from your calculations. Please try again.	You forgot to add the original $200 that the cadets already had in their account to your calculations. Please try again.	You forgot to add the original 500 baseball cards that Bobby already has in his collection to your calculations. Please try again.
%(bug1_hint)%	Please enter '6' in the highlighted field.	Please enter '8' in the highlighted field.	Please enter '30' in the highlighted field.	Please enter '12' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '50' in the highlighted field.	Please enter '20' in the highlighted field.	Please enter '50' in the highlighted field.	Please enter '100' in the highlighted field.	Please enter '3' in the highlighted field.
%(bug2_hint)%	Please enter '10' in the highlighted field.	Please enter '16' in the highlighted field.	Please enter '45' in the highlighted field.	Please enter '30' in the highlighted field.	Please enter '15' in the highlighted field.	Please enter '8' in the highlighted field.	Please enter '60' in the highlighted field.	Please enter '30' in the highlighted field.	Please enter '100' in the highlighted field.	Please enter '150' in the highlighted field.	Please enter '6' in the highlighted field.
%(bug3_hint)%	Please enter '14' in the highlighted field.	Please enter '24' in the highlighted field.	Please enter '60' in the highlighted field.	Please enter '48' in the highlighted field.	Please enter '20' in the highlighted field.	Please enter '40' in the highlighted field.	Please enter '80' in the highlighted field.	Please enter '40' in the highlighted field.	Please enter '200' in the highlighted field.	Please enter '200' in the highlighted field.	Please enter '10' in the highlighted field.
%(bug4_hint)%	Please enter '18' in the highlighted field.	Please enter '32' in the highlighted field.	Please enter '75' in the highlighted field.	Please enter '60' in the highlighted field.	Please enter '30' in the highlighted field.	Please enter '100' in the highlighted field.	Please enter '100' in the highlighted field.	Please enter '60' in the highlighted field.	Please enter '300' in the highlighted field.	Please enter '300' in the highlighted field.	Please enter '20' in the highlighted field.
