Problem Name	01Runners	02Runners	03Baton	04CDs	05Programmer	06Seoul	07Stories	00Bubble
%(Q2C8H2)%	"The number of possible lineups is equal to the product of the number of possible first runners, the number of possible second runners, and the number of possible third runners. Please enter the number of possible lineups in the highlighted field."	"The number of possible lineups is equal to the product of the number of possible first runners and the number of possible second, third, fourth, fifth, and sixth runners. Please enter the number of possible lineups in the highlighted field."	"The number of possible routines is equal to the product of the number of possible first twirls and the number of possible second, third, fourth, fifth, and sixth twirls. Please enter the number of possible routines in the highlighted field."	"The total number of possible CDs is equal to the product of the number of possible first songs and the number of possible second, third, fourth, and fifth songs. Please enter the total number of possible CDs in the highlighted field."	"The total number of possible tutors is equal to the product of the number of possible first lessons, the number of possible second lessons, and the number of possible third lessons. Please enter the total number of possible tutors in the highlighted field."	"The number of schedules of visits that Liam can make is equal to the product of the number of palaces Liam could visit on the first day of his stay and the number of palaces he could visit on the second, third, and fourth days of his stay. Please enter the number of schedules of visits in the highlighted field."	"The total number of possible collections is equal to the product of the number of possible first stories, the number of possible second stories, the number of possible third stories, the number of possible fourth stories, and the number of possible fifth stories. Please enter the total number of possible collections in the highlighted field."	"The number of possible lineups is equal to the product of the number of possible first runners, the number of possible second runners, and the number of possible third runners. Please enter the number of possible lineups in the highlighted field."
%(Q2C8H3)%	Please enter '60' in the highlighted field.	Please enter '5040' in the highlighted field.	Please enter '1235520' in the highlighted field.	Please enter '720' in the highlighted field.	Please enter '210' in the highlighted field.	Please enter '120' in the highlighted field.	Please enter '15120' in the highlighted field.	Please enter '2730' in the highlighted field.
								
%(Q3C1H1)%	What do you already know from the question?	What do you already know from the question?	What do you already know from the question?	What do you already know from the question?	What do you already know from the question?	What do you already know from the question?	What do you already know from the question?	What do you already know from the question?
%(Q3C1H2)%	"A given value in the question represents the number of runners on the team. Because none of these runners have been given a position in the relay race, there are this many possible first runners for the lineup. Please type this given value into the correct place on the table."	"A given value in the question represents the number of runners on the team. Because none of these runners have been given a position in the relay race, there are this many possible first runners for the lineup. Please type this given value into the correct place on the table."	"A given value in the question represents the number of twirls that Cheryl knows. Because she hasn't choreographed any of these twirls into her routine, there are this many possible first twirls. Please type this given value into the correct place on the table."	"A given value in the question represents the number of songs that Thom has downloaded. Because Thom hasn't put any of these songs onto the CD, there are this many possible first songs. Please type this given value into the correct place on the table."	"A given value in the question represents the number of lessons that Ryan has to choose from. Because Ryan hasn't programmed any of these lessons into the tutor, there are this many possible first lessons. Please type this given value into the correct place on the table."	"A given value in the question represents the number of palaces in Seoul. Because Liam hasn't chosen any palaces to visit, he can choose from this many palaces to visit on the first day of his stay in Seoul. Please type this given value into the correct place on the table."	"A given value in the question represents the number of stories. Because none of these stories have been put into the collection, there are this many possible first stories. Please type this given value into the correct place on the table."	"A given value in the question represents the number of runners on the team. Because none of these runners have been given a position in the relay race, there are this many possible first runners for the lineup. Please type this given value into the correct place on the table."
%(Q3C1H3)%	Please enter '10' in the highlighted field.	Please enter '10' in the highlighted field.	Please enter '18' in the highlighted field.	Please enter '17' in the highlighted field.	Please enter '12' in the highlighted field.	Please enter '8' in the highlighted field.	Please enter '14' in the highlighted field.	Please enter '10' in the highlighted field.
%(Q3C2H1)%	What is the number of possible second runners?	What is the number of possible second runners?	What is the number of possible second twirls?	What is the number of possible second songs?	What is the number of possible second lessons?	What is the number of palaces that Liam can visit on the second day of his stay?	What is the number of possible second stories?	What is the number of possible second runners?
%(Q3C2H2)%	"One of the runners has already been chosen as the first possible runner in the relay race, so the number of possible second runners is one less than the number of possible first runners."	"One of the runners has already been chosen as the first possible runner in the relay race, and because the runners cannot appear more than once in the lineup, the number of possible second runners is one less than the number of possible first runners."	"Cheryl has already chosen one of the twirls as the first possible twirl in her routine, and because the twirls cannot appear more than once, the number of possible second twirls is one less than the number of possible first twirls."	"One of the songs has already been chosen as the first possible song on the CD, and because the songs cannot appear more than once, the number of possible second songs is one less than the number of possible first songs."	"One of the lessons has already been chosen as the first possible lesson of the tutor, and because the lessons cannot appear more than once in the tutor, the number of possible second lessons is one less than the number of possible first lessons."	"Liam has already chosen a palace to visit on the first day of his stay in Seoul, and because he doesn't have time to visit any of the palaces more than once, the number of palaces he can visit on the second day of his stay is one less than the number of palaces he could visit on the first day."	"One of the stories has already been chosen as the first possible story of the collection, and because the stories cannot appear more than once, the number of possible second stories is one less than the number of possible first stories."	"One of the runners has already been chosen as the first possible runner in the relay race, so the number of possible second runners is one less than the number of possible first runners."
%(Q3C2H3)%	Please enter '9' in the highlighted field.	Please enter '9' in the highlighted field.	Please enter '17' in the highlighted field.	Please enter '16' in the highlighted field.	Please enter '11' in the highlighted field.	Please enter '7' in the highlighted field.	Please enter '13' in the highlighted field.	Please enter '9' in the highlighted field.
%(Q3C3H1)%	What is the number of possible third runners?	What is the number of possible third runners?	What is the number of possible third twirls?	What is the number of possible third songs?	What is the number of possible third lessons?	What is the number of palaces that Liam can visit on the third day of his stay?	What is the number of possible third stories?	What is the number of possible third runners?
%(Q3C3H2)%	"Both the first and second runners for the relay race have been chosen, and because the runners cannot appear more than once in the lineup, the number of possible third runners is two less than the number of possible first runners."	"Both the first and second runners for the relay race have been chosen, and because the runners cannot appear more than once in the lineup, the number of possible third runners is two less than the number of possible first runners."	"Cheryl has chosen both the first and second twirls for her routine, and because the twirls cannot appear more than once, the number of possible third twirls is two less than the number of possible first twirls."	"Thom has chosen both the first and second songs for the CD, and because the songs cannot appear more than once, the number of possible third songs is two less than the number of possible first songs."	"Both the first and second lessons for the tutor have been chosen, and because the lessons cannot appear more than once in the tutor, the number of possible third lessons is two less than the number of possible first lessons."	"Liam has already chosen the palaces that he is going to visit on both the first and second days of his stay in Seoul, and because he doesn't have time to visit any of the palaces more than once, the number of palaces he can visit on the third day of his stay is two less than the number of palaces he could visit on the first day of his stay."	"Both the first and second stories for the collection have been chosen, and because the stories cannot appear more than once in the collection, the number of possible third stories is two less than the number of possible first stories."	"Both the first and second runners for the relay race have been chosen, and because the runners cannot appear more than once in the lineup, the number of possible third runners is two less than the number of possible first runners."
%(Q3C3H3)%	Please enter '8' in the highlighted field.	Please enter '8' in the highlighted field.	Please enter '16' in the highlighted field.	Please enter '15' in the highlighted field.	Please enter '10' in the highlighted field.	Please enter '6' in the highlighted field.	Please enter '12' in the highlighted field.	Please enter '8' in the highlighted field.
%(Q3C4H1)%	*	What is the number of possible fourth runners?	What is the number of possible fourth twirls?	What is the number of possible fourth songs?	*	What is the number of palaces that Liam can visit on the fourth day of his stay?	What is the number of possible fourth stories?	*
%(Q3C4H2)%	*	"The first, second, and third runners for the relay race have been chosen, and because the runners cannot appear more than once in the lineup, the number of possible fourth runners is three less than the number of possible first runners."	"Cheryl has chosen the first, second, and third twirls for her routine, and because the twirls cannot appear more than once, the number of possible fourth twirls is three less than the number of possible first twirls."	"Thom has chosen the first, second, and third songs for the CD, and because the songs cannot appear more than once, the number of possible fourth songs is three less than the number of possible first songs."	*	"Liam has already chosen the palaces that he is going to visit on the first, second, and third days of his stay in Seoul, and because he doesn't have time to visit any of the palaces more than once, the number of palaces he can visit on the fourth day of his stay is three less than the number of palaces he could visit on the first day of his stay."	"The first, second, and third stories for the collection have been chosen, and because the stories cannot appear more than once in the collection, the number of possible fourth stories is three less than the number of possible first stories."	*
%(Q3C4H3)%	*	Please enter '7' in the highlighted field.	Please enter '15' in the highlighted field.	Please enter '14' in the highlighted field.	*	Please enter '5' in the highlighted field.	Please enter '11' in the highlighted field.	*
%(Q3C5H1)%	*	What is the number of possible fifth runners?	What is the number of possible fifth twirls?	What is the number of possible fifth songs?	*	*	What is the number of possible fifth stories?	*
%(Q3C5H2)%	*	"The first, second, third, and fourth runners for the relay race have been chosen, and because the runners cannot appear more than once in the lineup, the number of possible fifth runners is four less than the number of possible first runners."	"Cheryl has chosen the first, second, third, and fourth twirls for her routine, and because the twirls cannot appear more than once, the number of possible fifth twirls is four less than the number of possible first twirls."	"Thom has chosen the first, second, third, and fourth songs for the CD, and because the songs cannot appear more than once, the number of possible fifth songs is four less than the number of possible first songs."	*	*	"The first, second, third, and fourth stories for the collection have been chosen, and because the stories cannot appear more than once in the collection, the number of possible fifth stories is four less than the number of possible first stories."	*
%(Q3C5H3)%	*	Please enter '6' in the highlighted field.	Please enter '14' in the highlighted field.	Please enter '13' in the highlighted field.	*	*	Please enter '10' in the highlighted field.	*
%(Q3C6H1)%	*	What is the number of possible sixth runners?	What is the number of possible sixth twirls?	*	*	*	*	*
%(Q3C6H2)%	*	"The first, second, third, fourth, and fifth runners for the relay race have been chosen, and because the runners cannot appear more than once in the lineup, the number of possible sixth runners is five less than the number of possible first runners."	"Cheryl has chosen the first, second, third, fourth, and fifth twirls for her routine, and because the twirls cannot appear more than once, the number of possible sixth twirls is five less than the number of possible first twirls."	*	*	*	*	*
%(Q3C6H3)%	*	Please enter '5' in the highlighted field.	Please enter '13' in the highlighted field.	*	*	*	*	*
%(Q3C7H1)%	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?
%(Q3C7H2)%	"Try multiplying the possible first runners, possible second runners, and possible third runners."	"Try multiplying the possible first runners, possible second runners, possible third runners, possible fourth runners, possible fifth runners, and possible sixth runners."	"Try multiplying the number of possible first twirls and the number of possible second, third, fourth, fifth, and sixth twirls."	"Try multiplying the number of possible first songs and the number of possible second, third, fourth, and fifth songs."	"Try multiplying the number of possible first lessons, the number of possible second lessons, and the number of possible third lessons."	"Try multiplying the number of palaces Liam could visit on the first day of his stay and the number of palaces he could visit on the second, third, and fourth days of his stay."	"Try multiplying the number of possible first stories, the number of possible second stories, the number of possible third stories, the number of possible fourth stories, and the number of possible fifth stories."	"Try multiplying the possible first runners, possible second runners, and possible third runners."
%(Q3C7H3)%	Please enter '10*9*8' in the highlighted field.	Please enter '10*9*8*7*6*5' in the highlighted field.	Please enter '18*17*16*15*14*13' in the highlighted field.	Please enter '17*16*15*14*13' in the highlighted field.	Please enter '12*11*10' in the highlighted field.	Please enter '8*7*6*5' in the highlighted field.	Please enter '14*13*12*11*10' in the highlighted field.	Please enter '10*9*8' in the highlighted field.
%(Q3C8H1)%	What is the number of possible lineups?	What is the total number of possible lineups?	What is the total number of possible routines?	What is the total number of possible CDs?	What is the total number of possible tutors?	How many schedules of visits can Liam make?	What is the total number of possible collections?	What is the number of possible lineups?
%(Q3C8H2)%	"The number of possible lineups is equal to the product of the number of possible first runners, the number of possible second runners, and the number of possible third runners. Please enter the number of possible lineups in the highlighted field."	"The number of possible lineups is equal to the product of the number of possible first runners and the number of possible second, third, fourth, fifth, and sixth runners. Please enter the number of possible lineups in the highlighted field."	"The number of possible routines is equal to the product of the number of possible first twirls and the number of possible second, third, fourth, fifth, and sixth twirls. Please enter the number of possible routines in the highlighted field."	"The total number of possible CDs is equal to the product of the number of possible first songs and the number of possible second, third, fourth, and fifth songs. Please enter the total number of possible CDs in the highlighted field."	"The total number of possible tutors is equal to the product of the number of possible first lessons, the number of possible second lessons, and the number of possible third lessons. Please enter the total number of possible tutors in the highlighted field."	"The number of schedules of visits Liam that can make is equal to the product of the number of palaces Liam could visit on the first day of his stay and the number of palaces he could visit on the second, third, and fourth days of his stay. Please enter the number of schedules of visits in the highlighted field."	"The total number of possible collections is equal to the product of the number of possible first stories, the number of possible second stories, the number of possible third stories, the number of possible fourth stories, and the number of possible fifth stories. Please enter the total number of possible collections in the highlighted field."	"The number of possible lineups is equal to the product of the number of possible first runners, the number of possible second runners, and the number of possible third runners. Please enter the number of possible lineups in the highlighted field."
%(Q3C8H3)%	Please enter '720' in the highlighted field.	Please enter '151200' in the highlighted field.	Please enter '13366080' in the highlighted field.	Please enter '742560' in the highlighted field.	Please enter '1320' in the highlighted field.	Please enter '1680' in the highlighted field.	Please enter '240240' in the highlighted field.	Please enter '720' in the highlighted field.
								
%(Q4C1H1)%	What do you already know from the question?	What do you already know from the question?	What do you already know from the question?	What do you already know from the question?	What do you already know from the question?	What do you already know from the question?	What do you already know from the question?	What do you already know from the question?
%(Q4C1H2)%	"A given value in the question represents the number of runners on the team. Because none of these runners have been given a position in the relay race, there are this many possible first runners for the lineup. Please type this given value into the correct place on the table."	"A given value in the question represents the number of runners on the team. Because none of these runners have been given a position in the relay race, there are this many possible first runners for the lineup. Please type this given value into the correct place on the table."	"A given value in the question represents the number of twirls that Cheryl knows. Because she hasn't choreographed any of these twirls into her routine, there are this many possible first twirls. Please type this given value into the correct place on the table."	"A given value in the question represents the number of songs that Thom has downloaded. Because Thom hasn't put any of these songs onto the CD, there are this many possible first songs. Please type this given value into the correct place on the table."	"A given value in the question represents the number of lessons that Ryan has to choose from. Because Ryan hasn't programmed any of these lessons into the tutor, there are this many possible first lessons. Please type this given value into the correct place on the table."	"A given value in the question represents the number of palaces in Seoul. Because Liam hasn't chosen any palaces to visit, he can choose from this many palaces to visit on the first day of his stay in Seoul. Please type this given value into the correct place on the table."	"A given value in the question represents the number of stories. Because none of these stories have been put into the collection, there are this many possible first stories. Please type this given value into the correct place on the table."	"A given value in the question represents the number of runners on the team. Because none of these runners have been given a position in the relay race, there are this many possible first runners for the lineup. Please type this given value into the correct place on the table."
%(Q4C1H3)%	Please enter '2' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '6' in the highlighted field.	Please enter '33' in the highlighted field.	Please enter '16' in the highlighted field.	Please enter '10' in the highlighted field.	Please enter '21' in the highlighted field.	Please enter '5' in the highlighted field.
%(Q4C2H1)%	What is the number of possible second runners?	What is the number of possible second runners?	What is the number of possible second twirls?	What is the number of possible second songs?	What is the number of possible second lessons?	What is the number of palaces that Liam can visit on the second day of his stay?	What is the number of possible second stories?	What is the number of possible second runners?
%(Q4C2H2)%	"One of the runners has already been chosen as the first possible runner in the relay race, so the number of possible second runners is one less than the number of possible first runners."	"One of the runners has already been chosen as the first possible runner in the relay race, and because the runners cannot appear more than once in the lineup, the number of possible second runners is one less than the number of possible first runners."	"Cheryl has already chosen one of the twirls as the first possible twirl in her routine, and because the twirls cannot appear more than once, the number of possible second twirls is one less than the number of possible first twirls."	"One of the songs has already been chosen as the first possible song on the CD, and because the songs cannot appear more than once, the number of possible second songs is one less than the number of possible first songs."	"One of the lessons has already been chosen as the first possible lesson of the tutor, and because the lessons cannot appear more than once in the tutor, the number of possible second lessons is one less than the number of possible first lessons."	"Liam has already chosen a palace to visit on the first day of his stay in Seoul, and because he doesn't have time to visit any of the palaces more than once, the number of palaces he can visit on the second day of his stay is one less than the number of palaces he could visit on the first day."	"One of the stories has already been chosen as the first possible story of the collection, and because the stories cannot appear more than once, the number of possible second stories is one less than the number of possible first stories."	"One of the runners has already been chosen as the first possible runner in the relay race, so the number of possible second runners is one less than the number of possible first runners."
%(Q4C2H3)%	Please enter '1' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '32' in the highlighted field.	Please enter '15' in the highlighted field.	Please enter '9' in the highlighted field.	Please enter '20' in the highlighted field.	Please enter '4' in the highlighted field.
%(Q4C3H1)%	What is the number of possible third runners?	What is the number of possible third runners?	What is the number of possible third twirls?	What is the number of possible third songs?	What is the number of possible third lessons?	What is the number of palaces that Liam can visit on the third day of his stay?	What is the number of possible third stories?	What is the number of possible third runners?
%(Q4C3H2)%	"Both the first and second runners for the relay race have been chosen, and because the runners cannot appear more than once in the lineup, the number of possible third runners is two less than the number of possible first runners."	"Both the first and second runners for the relay race have been chosen, and because the runners cannot appear more than once in the lineup, the number of possible third runners is two less than the number of possible first runners."	"Cheryl has chosen both the first and second twirls for her routine, and because the twirls cannot appear more than once, the number of possible third twirls is two less than the number of possible first twirls."	"Thom has chosen both the first and second songs for the CD, and because the songs cannot appear more than once, the number of possible third songs is two less than the number of possible first songs."	"Both the first and second lessons for the tutor have been chosen, and because the lessons cannot appear more than once in the tutor, the number of possible third lessons is two less than the number of possible first lessons."	"Liam has already chosen the palaces that he is going to visit on both the first and second days of his stay in Seoul, and because he doesn't have time to visit any of the palaces more than once, the number of palaces he can visit on the third day of his stay is two less than the number of palaces he could visit on the first day of his stay."	"Both the first and second stories for the collection have been chosen, and because the stories cannot appear more than once in the collection, the number of possible third stories is two less than the number of possible first stories."	"Both the first and second runners for the relay race have been chosen, and because the runners cannot appear more than once in the lineup, the number of possible third runners is two less than the number of possible first runners."
%(Q4C3H3)%	Please enter '0' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '31' in the highlighted field.	Please enter '14' in the highlighted field.	Please enter '8' in the highlighted field.	Please enter '19' in the highlighted field.	Please enter '3' in the highlighted field.
%(Q4C4H1)%	*	What is the number of possible fourth runners?	What is the number of possible fourth twirls?	What is the number of possible fourth songs?	*	What is the number of palaces that Liam can visit on the fourth day of his stay?	What is the number of possible fourth stories?	*
%(Q4C4H2)%	*	"The first, second, and third runners for the relay race have been chosen, and because the runners cannot appear more than once in the lineup, the number of possible fourth runners is three less than the number of possible first runners."	"Cheryl has chosen the first, second, and third twirls for her routine, and because the twirls cannot appear more than once, the number of possible fourth twirls is three less than the number of possible first twirls."	"Thom has chosen the first, second, and third songs for the CD, and because the songs cannot appear more than once, the number of possible fourth songs is three less than the number of possible first songs."	*	"Liam has already chosen the palaces that he is going to visit on the first, second, and third days of his stay in Seoul, and because he doesn't have time to visit any of the palaces more than once, the number of palaces he can visit on the fourth day of his stay is three less than the number of palaces he could visit on the first day of his stay."	"The first, second, and third stories for the collection have been chosen, and because the stories cannot appear more than once in the collection, the number of possible fourth stories is three less than the number of possible first stories."	*
%(Q4C4H3)%	*	Please enter '2' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '30' in the highlighted field.	*	Please enter '7' in the highlighted field.	Please enter '18' in the highlighted field.	*
%(Q4C5H1)%	*	What is the number of possible fifth runners?	What is the number of possible fifth twirls?	What is the number of possible fifth songs?	*	*	What is the number of possible fifth stories?	*
%(Q4C5H2)%	*	"The first, second, third, and fourth runners for the relay race have been chosen, and because the runners cannot appear more than once in the lineup, the number of possible fifth runners is four less than the number of possible first runners."	"Cheryl has chosen the first, second, third, and fourth twirls for her routine, and because the twirls cannot appear more than once, the number of possible fifth twirls is four less than the number of possible first twirls."	"Thom has chosen the first, second, third, and fourth songs for the CD, and because the songs cannot appear more than once, the number of possible fifth songs is four less than the number of possible first songs."	*	*	"The first, second, third, and fourth stories for the collection have been chosen, and because the stories cannot appear more than once in the collection, the number of possible fifth stories is four less than the number of possible first stories."	*
%(Q4C5H3)%	*	Please enter '1' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '29' in the highlighted field.	*	*	Please enter '17' in the highlighted field.	*
%(Q4C6H1)%	*	What is the number of possible sixth runners?	What is the number of possible sixth twirls?	*	*	*	*	*
%(Q4C6H2)%	*	"The first, second, third, fourth, and fifth runners for the relay race have been chosen, and because the runners cannot appear more than once in the lineup, the number of possible sixth runners is five less than the number of possible first runners."	"Cheryl has chosen the first, second, third, fourth, and fifth twirls for her routine, and because the twirls cannot appear more than once, the number of possible sixth twirls is five less than the number of possible first twirls."	*	*	*	*	*
%(Q4C6H3)%	*	Please enter '0' in the highlighted field.	Please enter '1' in the highlighted field.	*	*	*	*	*
%(Q4C7H1)%	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?	What mathematical expression should you use to solve this problem?
%(Q4C7H2)%	"Try multiplying the possible first runners, possible second runners, and possible third runners."	"Try multiplying the possible first runners, possible second runners, possible third runners, possible fourth runners, possible fifth runners, and possible sixth runners."	"Try multiplying the number of possible first twirls and the number of possible second, third, fourth, fifth, and sixth twirls."	"Try multiplying the number of possible first songs and the number of possible second, third, fourth, and fifth songs."	"Try multiplying the number of possible first lessons, the number of possible second lessons, and the number of possible third lessons."	"Try multiplying the number of palaces Liam could visit on the first day of his stay and the number of palaces he could visit on the second, third, and fourth days of his stay."	"Try multiplying the number of possible first stories, the number of possible second stories, the number of possible third stories, the number of possible fourth stories, and the number of possible fifth stories."	"Try multiplying the possible first runners, possible second runners, and possible third runners."
%(Q4C7H3)%	Please enter '2*1*0' in the highlighted field.	Please enter '5*4*3*2*1*0' in the highlighted field.	Please enter '6*5*4*3*2*1' in the highlighted field.	Please enter '33*32*31*30*29' in the highlighted field.	Please enter '16*15*14' in the highlighted field.	Please enter '10*9*8*7' in the highlighted field.	Please enter '21*20*19*18*17' in the highlighted field.	Please enter '5*4*3' in the highlighted field.
%(Q4C8H1)%	What is the number of possible lineups?	What is the total number of possible lineups?	What is the number of possible routines?	What is the total number of possible CDs?	What is the total number of possible tutors?	How many schedules of visits can Liam make?	What is the total number of possible collections?	What is the number of possible lineups?
%(Q4C8H2)%	"The number of possible lineups is equal to the product of the number of possible first runners, the number of possible second runners, and the number of possible third runners.  If the coach doesn't have enough runners to fill every spot in the lineup, he isn't able to make one at all. Please enter the number of possible lineups in the highlighted field."	"The number of possible lineups is equal to the product of the number of possible first runners and the number of possible second, third, fourth, fifth, and sixth runners. If the coach doesn't have enough runners to fill every spot in the lineup, he isn't able to make one at all. Please enter the number of possible lineups in the highlighted field."	"The number of possible routines is equal to the product of the number of possible first twirls and the number of possible second, third, fourth, fifth, and sixth twirls. Please enter the number of possible routines in the highlighted field."	"The total number of possible CDs is equal to the product of the number of possible first songs and the number of possible second, third, fourth, and fifth songs. Please enter the total number of possible CDs in the highlighted field."	"The total number of possible tutors is equal to the product of the number of possible first lessons, the number of possible second lessons, and the number of possible third lessons. Please enter the total number of possible tutors in the highlighted field."	"The number of schedules of visits that Liam can make is equal to the product of the number of palaces Liam could visit on the first day of his stay and the number of palaces he could visit on the second, third, and fourth days of his stay. Please enter the number of schedules of visits in the highlighted field."	"The total number of possible collections is equal to the product of the number of possible first stories, the number of possible second stories, the number of possible third stories, the number of possible fourth stories, and the number of possible fifth stories. Please enter the total number of possible collections in the highlighted field."	"The number of possible lineups is equal to the product of the number of possible first runners, the number of possible second runners, and the number of possible third runners.  If the coach doesn't have enough runners to fill every spot in the lineup, he isn't able to make one at all. Please enter the number of possible lineups in the highlighted field."
%(Q4C8H3)%	Please enter '0' in the highlighted field.	Please enter '0' in the highlighted field.	Please enter '720' in the highlighted field.	Please enter '28480320' in the highlighted field.	Please enter '3360' in the highlighted field.	Please enter '5040' in the highlighted field.	Please enter '2441880' in the highlighted field.	Please enter '60' in the highlighted field.
								
%(-4815034505227791097)%	"The number of possible lineups is equal to the product of the number of possible first runners, the number of possible second runners, and the number of possible third runners.  If the coach doesn't have enough runners to fill every spot in the lineup, he isn't able to make one at all. Please enter the number of possible lineups in the highlighted field."	"The number of possible lineups is equal to the product of the number of possible first runners and the number of possible second, third, fourth, fifth, and sixth runners. If the coach doesn't have enough runners to fill every spot in the lineup, he isn't able to make one at all. Please enter the number of possible lineups in the highlighted field."	"The number of possible routines is equal to the product of the number of possible first twirls and the number of possible second, third, fourth, fifth, and sixth twirls. Please enter the number of possible routines in the highlighted field."	"The total number of possible CDs is equal to the product of the number of possible first songs and the number of possible second, third, fourth, and fifth songs. Please enter the total number of possible CDs in the highlighted field."	"The total number of possible tutors is equal to the product of the number of possible first lessons, the number of possible second lessons, and the number of possible third lessons. Please enter the total number of possible tutors in the highlighted field."	"The number of schedules of visits that Liam can make is equal to the product of the number of palaces Liam could visit on the first day of his stay and the number of palaces he could visit on the second, third, and fourth days of his stay. Please enter the number of schedules of visits in the highlighted field."	"The total number of possible collections is equal to the product of the number of possible first stories, the number of possible second stories, the number of possible third stories, the number of possible fourth stories, and the number of possible fifth stories. Please enter the total number of possible collections in the highlighted field."	"The number of possible lineups is equal to the product of the number of possible first runners, the number of possible second runners, and the number of possible third runners.  If the coach doesn't have enough runners to fill every spot in the lineup, he isn't able to make one at all. Please enter the number of possible lineups in the highlighted field."
%(-3249261351147614394)%	*	Please enter '2' in the highlighted field.	Please enter '8' in the highlighted field.	*	*	*	*	*
%(8332596428321983964)%	Please enter '3*2*1' in the highlighted field.	Please enter '6*5*4*3*2*1' in the highlighted field.	Please enter '8*7*6*5*4*3' in the highlighted field.	Please enter '5*4*3*2*1' in the highlighted field.	Please enter '3*2*1' in the highlighted field.	Please enter '3*2*1' in the highlighted field.	Please enter '5*4*3*2*1' in the highlighted field.	Please enter '20*19*18' in the highlighted field.
%(4091312503110517825)%	What is the number of possible third runners?	What is the number of possible third runners?	What is the number of possible third twirls?	What is the number of possible third songs?	What is the number of possible third lessons?	What is the number of palaces that Liam can visit on the third day of his stay?	What is the number of possible third stories?	What is the number of possible third runners?
%(4079928368414324118)%	Please enter '10*9*8' in the highlighted field.	Please enter '10*9*8*7*6*5' in the highlighted field.	Please enter '18*17*16*15*14*13' in the highlighted field.	Please enter '17*16*15*14*13' in the highlighted field.	Please enter '12*11*10' in the highlighted field.	Please enter '8*7*6*5' in the highlighted field.	Please enter '14*13*12*11*10' in the highlighted field.	Please enter '10*9*8' in the highlighted field.
%(4266074914130832537)%	Please enter '0' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '31' in the highlighted field.	Please enter '14' in the highlighted field.	Please enter '8' in the highlighted field.	Please enter '19' in the highlighted field.	Please enter '3' in the highlighted field.
%(8758163058594177864)%	*	Please enter '4' in the highlighted field.	Please enter '10' in the highlighted field.	Please enter '3' in the highlighted field.	*	Please enter '2' in the highlighted field.	Please enter '6' in the highlighted field.	*
%(4986163432849016179)%	Please enter '6' in the highlighted field.	Please enter '720' in the highlighted field.	Please enter '20160' in the highlighted field.	Please enter '120' in the highlighted field.	Please enter '6' in the highlighted field.	Please enter '6' in the highlighted field.	Please enter '120' in the highlighted field.	Please enter '6840' in the highlighted field.
%(-4794574233950792396)%	"A given value in the question represents the number of runners on the team. Because none of these runners have been given a position in the relay race, there are this many possible first runners for the lineup. Please type this given value into the correct place on the table."	"A given value in the question represents the number of runners on the team. Because none of these runners have been given a position in the relay race, there are this many possible first runners for the lineup. Please type this given value into the correct place on the table."	"A given value in the question represents the number of twirls that Cheryl knows. Because she hasn't choreographed any of these twirls into her routine, there are this many possible first twirls. Please type this given value into the correct place on the table."	"A given value in the question represents the number of songs that Thom has downloaded. Because Thom hasn't put any of these songs onto the CD, there are this many possible first songs. Please type this given value into the correct place on the table."	"A given value in the question represents the number of lessons that Ryan has to choose from. Because Ryan hasn't programmed any of these lessons into the tutor, there are this many possible first lessons. Please type this given value into the correct place on the table."	"A given value in the question represents the number of palaces in Seoul. Because Liam hasn't chosen any palaces to visit, he can choose from this many palaces to visit on the first day of his stay in Seoul. Please type this given value into the correct place on the table."	"A given value in the question represents the number of stories. Because none of these stories have been put into the collection, there are this many possible first stories. Please type this given value into the correct place on the table."	"A given value in the question represents the number of runners on the team. Because none of these runners have been given a position in the relay race, there are this many possible first runners for the lineup. Please type this given value into the correct place on the table."
%(-6992472971775084138)%	What is the number of possible third runners?	What is the number of possible third runners?	What is the number of possible third twirls?	What is the number of possible third songs?	What is the number of possible third lessons?	What is the number of palaces that Liam can visit on the third day of his stay?	What is the number of possible third stories?	What is the number of possible third runners?
%(4986161432853016149)%	What is the number of possible lineups?	What is the total number of possible lineups?	What is the total number of possible routines?	What is the total number of possible CDs?	What is the total number of possible tutors?	How many schedules of visits can Liam make?	What is the total number of possible collections?	What is the number of possible lineups?
%(-2173238749736926587)%	*	What is the number of possible fifth runners?	What is the number of possible fifth twirls?	What is the number of possible fifth songs?	*	*	What is the number of possible fifth stories?	*
