Problem Name	00intro	01triangle	02soccer	03map	04triangle	05a_park	05b_park	05c_park	06triangle	07triangle	08airplane	09boat	10a_city	10b_city	10c_city	11park
%(-8117444534491944645)%	You entered the length of 'a'. The Pythagorean equation needs 'a^2' ('a' squared). What is the square of '3'?	You entered the length of 'a'. The Pythagorean equation needs 'a^2' ('a' squared). What is the square of '6'?	You entered the length of 'a'. The Pythagorean equation needs 'a^2' ('a' squared). What is the square of '14'?	You entered the length of 'a'. The Pythagorean equation needs 'a^2' ('a' squared). What is the square of '63'?	You entered the length of 'a'. The Pythagorean equation needs 'a^2' ('a' squared). What is the square of '5'?	You entered the length of 'a'. The Pythagorean equation needs 'a^2' ('a' squared). What is the square of '10'?	You entered the length of 'a'. The Pythagorean equation needs 'a^2' ('a' squared). What is the square of '7.5'?	You entered the length of 'a'. The Pythagorean equation needs 'a^2' ('a' squared). What is the square of '4'?	You entered the length of 'a'. The Pythagorean equation needs 'a^2' ('a' squared). What is the square of '2'?	You entered the length of 'a'. The Pythagorean equation needs 'a^2' ('a' squared). What is the square of '15'?	You entered the length of 'a'. The Pythagorean equation needs 'a^2' ('a' squared). What is the square of '24'?	You entered the length of 'a'. The Pythagorean equation needs 'a^2' ('a' squared). What is the square of '42'?	You entered the length of 'a'. The Pythagorean equation needs 'a^2' ('a' squared). What is the square of '3'?	You entered the length of 'a'. The Pythagorean equation needs 'a^2' ('a' squared). What is the square of '2.5'?	You entered the length of 'a'. The Pythagorean equation needs 'a^2' ('a' squared). What is the square of '12'?	You entered the length of 'a'. The Pythagorean equation needs 'a^2' ('a' squared). What is the square of '5'?
%(7511052865228940979)%	-	"In this area, enter the length of leg 'b'."	"In this area, enter the distance between Kate and Erika."	"Choose and enter the length of one of the 2 legs of the right triangle. Don't worry about choosing the ""correct"" leg. The Pythagorean theorem is not strict on how you choose them."	"In this area, enter the length of leg 'b'."	"Choose and enter the length of one of the 2 legs of the right triangle. Don't worry about choosing the ""correct"" leg. The Pythagorean theorem is not strict on how you choose them."	"In this area, enter the distance Sam walked due north."	"<%=ifThen(hasValue(aa,bb,cc), ""Good job completing the Pythagorean theorem worksheet! Now, all you have to do is take the square root of the term you solved for, and enter it into the highlighted area."",""In this area, enter the distance Sam walked due north."")%>"	"Choose and enter the length of one of the 2 legs of the right triangle. Don't worry about choosing the ""correct"" leg. The Pythagorean theorem is not strict on how you choose them."	"<%=ifThen(hasValue(aa,bb,cc), ""Good job completing the Pythagorean theorem worksheet! Now, all you have to do is take the square root of the term you solved for, and enter it into the highlighted area."",""In this area, enter the length of leg 'b'."")%>"	"<%=ifThen(hasValue(aa,bb,cc), ""Good job completing the Pythagorean theorem worksheet! Now, all you have to do is take the square root of the term you solved for, and enter it into the highlighted area."",""In this area, enter the distance from the plane to my house."")%>"	"In this area, enter the depth of the lake."	"Choose and enter the length of one of the 2 legs of the right triangle. Don't worry about choosing the ""correct"" leg. The Pythagorean theorem is not strict on how you choose them."	"In this area, enter the distance driven on Elm St.."	"<%=ifThen(hasValue(aa,bb,cc), ""Good job completing the Pythagorean theorem worksheet! Now, all you have to do is take the square root of the term you solved for, and enter it into the highlighted area."",""In this area, enter the distance driven on Elm St.."")%>"	"In this area, enter the total distance to walk south. What information is given in this question?"
%(-2187125315846844083)%	-	What information is given in this question? Is the length of leg 'a' given in the question?	What information is given in this question? Is the distance between Kate and Stacy given in the question?	What information is given in this question? Try to imagine the shape of the right triangle that forms according to the scenario. Which sides are the legs?	"<%=ifThen(hasValue(aa,bb,cc),""What was the side you solved for using the Pythagorean theorem worksheet?"",""Is the length of leg 'a' given? NO! You must solve for it. What method can you use?"")%>"	What information is given in this question? Try to imagine the shape of the right triangle that forms according to the scenario. Which sides are the legs?	"<%=ifThen(hasValue(aa,bb,cc),""What was the side you solved for using the Pythagorean theorem worksheet?"",""Is the distance Sam walked due east given in the question? NO! You must solve for it. What method can you use?"")%>"	What information is given in this question? Is the distance Sam walked due east given in the question?	What information is given in this question? Try to imagine the shape of the right triangle that forms according to the scenario. Which sides are the legs?	What information is given in this question? Is the length of leg 'a' given in the question?	What information is given in this question? Is the distance from the airport to my house given in the question?	"<%=ifThen(hasValue(aa,bb,cc),""What was the side you solved for using the Pythagorean theorem worksheet?"",""Is the drifting distance given? NO! You must solve for it. What method can you use?"")%>"	What information is given in this question? Try to imagine the shape of the right triangle that forms according to the scenario. Which sides are the legs?	"<%=ifThen(hasValue(aa,bb,cc),""What was the side you solved for using the Pythagorean theorem worksheet?"",""Is the distance driven on Cochran Blvd. given? NO! You must solve for it. What method can you use?"")%>"	What information is given in this question? Is the distance driven on Cochran Blvd. given in the question?	"The diagram is NOT a right triangle, but you can still find the length of the hypotenuse, if you can identify the right triangle that would have such hypotenuse. "
%(-4122564058881238065)%	-	"<%=""""%>"	"<%=""""%>"	"<%=""""%>"	That's right! You used the Pythagorean theorem to find the length of the unknown side! The length of leg 'a' is 5 %(unit1)% long.	"<%=""""%>"	That's right! You used the Pythagorean theorem to find the length of the unknown side! The distance Sam walked due east is 7.5 %(unit1)% long.	"<%=""""%>"	"<%=""""%>"	"<%=""""%>"	"<%=""""%>"	That's right! You used the Pythagorean theorem to find the length of the unknown side! The drifting distance is 42 %(unit1)% long.	"<%=""""%>"	That's right! You used the Pythagorean theorem to find the length of the unknown side! The distance driven on Cochran Blvd. is 2.5 %(unit1)% long.	"<%=""""%>"	"<%=""""%>"
%(6773438277398814750)%	-	"Fill this part of the Pythagorean equation by entering 'b^2' (square of 'b'). Hint: to square a number, multiply the number by itself! For example: '5 squared'&nbsp;= 5^2&nbsp;= 5 * 5 = 25. "	"Fill this part of the Pythagorean equation by entering 'b^2' (square of 'b'). Hint: to square a number, multiply the number by itself! For example: '5 squared'&nbsp;= 5^2&nbsp;= 5 * 5 = 25. "	"Fill this part of the Pythagorean equation by entering 'b^2' (square of 'b'). Hint: to square a number, multiply the number by itself! For example: '5 squared'&nbsp;= 5^2&nbsp;= 5 * 5 = 25. "	"Fill this part of the Pythagorean equation by entering 'b^2' (square of 'b'). Hint: to square a number, multiply the number by itself! For example: '5 squared'&nbsp;= 5^2&nbsp;= 5 * 5 = 25. "	"Fill this part of the Pythagorean equation by entering 'b^2' (square of 'b'). Hint: to square a number, multiply the number by itself! For example: '5 squared'&nbsp;= 5^2&nbsp;= 5 * 5 = 25. "	"Fill this part of the Pythagorean equation by entering 'b^2' (square of 'b'). Hint: to square a number, multiply the number by itself! For example: '5 squared'&nbsp;= 5^2&nbsp;= 5 * 5 = 25. "	"Fill this part of the Pythagorean equation by entering 'b^2' (square of 'b'). Hint: to square a number, multiply the number by itself! For example: '5 squared'&nbsp;= 5^2&nbsp;= 5 * 5 = 25."	"Fill this part of the Pythagorean equation by entering 'b^2' (square of 'b'). Hint: to square a number, multiply the number by itself! For example: '5 squared'&nbsp;= 5^2&nbsp;= 5 * 5 = 25. "	"Fill this part of the Pythagorean equation by entering 'b^2' (square of 'b'). Hint: to square a number, multiply the number by itself! For example: '5 squared'&nbsp;= 5^2&nbsp;= 5 * 5 = 25."	"Fill this part of the Pythagorean equation by entering 'b^2' (square of 'b'). Hint: to square a number, multiply the number by itself! For example: '5 squared'&nbsp;= 5^2&nbsp;= 5 * 5 = 25."	"Fill this part of the Pythagorean equation by entering 'b^2' (square of 'b'). Hint: to square a number, multiply the number by itself! For example: '5 squared'&nbsp;= 5^2&nbsp;= 5 * 5 = 25. "	"Fill this part of the Pythagorean equation by entering 'b^2' (square of 'b'). Hint: to square a number, multiply the number by itself! For example: '5 squared'&nbsp;= 5^2&nbsp;= 5 * 5 = 25. "	"Fill this part of the Pythagorean equation by entering 'b^2' (square of 'b'). Hint: to square a number, multiply the number by itself! For example: '5 squared'&nbsp;= 5^2&nbsp;= 5 * 5 = 25. "	"Fill this part of the Pythagorean equation by entering 'b^2' (square of 'b'). Hint: to square a number, multiply the number by itself! For example: '5 squared'&nbsp;= 5^2&nbsp;= 5 * 5 = 25."	"Fill this part of the Pythagorean equation by entering 'b^2' (square of 'b'). Hint: to square a number, multiply the number by itself! For example: '5 squared'&nbsp;= 5^2&nbsp;= 5 * 5 = 25. "
%(7511053865236940928)%	-	What information is given in this question? Is the length of leg 'b' given in the question?	What information is given in this question? Is the distance between Kate and Erika given in the question?	What information is given in this question? Try to imagine the shape of the right triangle that forms according to the scenario. Which sides are the legs?	What information is given in this question? Is the length of leg 'b' given in the question?	What information is given in this question? Try to imagine the shape of the right triangle that forms according to the scenario. Which sides are the legs?	What information is given in this question? Is the distance Sam walked due north given in the question?	"<%=ifThen(hasValue(aa,bb,cc),""What was the side you solved for using the Pythagorean theorem worksheet?"",""Is the distance Sam walked due north given in the question? NO! You must solve for it. What method can you use?"")%>"	What information is given in this question? Try to imagine the shape of the right triangle that forms according to the scenario. Which sides are the legs?	"<%=ifThen(hasValue(aa,bb,cc),""What was the side you solved for using the Pythagorean theorem worksheet?"",""Is the length of leg 'b' given in the question? NO! You must solve for it. What method can you use?"")%>"	"<%=ifThen(hasValue(aa,bb,cc),""What was the side you solved for using the Pythagorean theorem worksheet?"",""Is the distance from the plane to my house given in the question? NO! You must solve for it. What method can you use?"")%>"	What information is given in this question? Is the depth of the lake given in the question?	What information is given in this question? Try to imagine the shape of the right triangle that forms according to the scenario. Which sides are the legs?	What information is given in this question? Is the distance driven on Elm St. given in the question?	"<%=ifThen(hasValue(aa,bb,cc),""What was the side you solved for using the Pythagorean theorem worksheet?"",""Is the distance driven on Elm St. given in the question? NO! You must solve for it. What method can you use?"")%>"	"The diagram is NOT a right triangle, but you can still find the length of the hypotenuse, if you can identify the right triangle that would have such hypotenuse. "
%(-8496887435443962605)%	-	"Fill this part of the Pythagorean equation by entering 'a^2' (square of 'a'). Hint: to square a number, multiply the number by itself! For example: '5 squared'&nbsp;= 5^2&nbsp;= 5 * 5 = 25. "	"Fill this part of the Pythagorean equation by entering 'a^2' (square of 'a'). Hint: to square a number, multiply the number by itself! For example: '5 squared'&nbsp;= 5^2&nbsp;= 5 * 5 = 25. "	"Fill this part of the Pythagorean equation by entering 'a^2' (square of 'a'). Hint: to square a number, multiply the number by itself! For example: '5 squared'&nbsp;= 5^2&nbsp;= 5 * 5 = 25. "	"Fill this part of the Pythagorean equation by entering 'a^2' (square of 'a'). Hint: to square a number, multiply the number by itself! For example: '5 squared'&nbsp;= 5^2&nbsp;= 5 * 5 = 25. "	"Fill this part of the Pythagorean equation by entering 'a^2' (square of 'a'). Hint: to square a number, multiply the number by itself! For example: '5 squared'&nbsp;= 5^2&nbsp;= 5 * 5 = 25. "	"Fill this part of the Pythagorean equation by entering 'a^2' (square of 'a'). Hint: to square a number, multiply the number by itself! For example: '5 squared'&nbsp;= 5^2&nbsp;= 5 * 5 = 25. "	"Fill this part of the Pythagorean equation by entering 'a^2' (square of 'a'). Hint: to square a number, multiply the number by itself! For example: '5 squared'&nbsp;= 5^2&nbsp;= 5 * 5 = 25. "	"Fill this part of the Pythagorean equation by entering 'a^2' (square of 'a'). Hint: to square a number, multiply the number by itself! For example: '5 squared'&nbsp;= 5^2&nbsp;= 5 * 5 = 25. "	"Fill this part of the Pythagorean equation by entering 'a^2' (square of 'a'). Hint: to square a number, multiply the number by itself! For example: '5 squared'&nbsp;= 5^2&nbsp;= 5 * 5 = 25. "	"Fill this part of the Pythagorean equation by entering 'a^2' (square of 'a'). Hint: to square a number, multiply the number by itself! For example: '5 squared'&nbsp;= 5^2&nbsp;= 5 * 5 = 25. "	"Fill this part of the Pythagorean equation by entering 'a^2' (square of 'a'). Hint: to square a number, multiply the number by itself! For example: '5 squared'&nbsp;= 5^2&nbsp;= 5 * 5 = 25. "	"Fill this part of the Pythagorean equation by entering 'a^2' (square of 'a'). Hint: to square a number, multiply the number by itself! For example: '5 squared'&nbsp;= 5^2&nbsp;= 5 * 5 = 25. "	"Fill this part of the Pythagorean equation by entering 'a^2' (square of 'a'). Hint: to square a number, multiply the number by itself! For example: '5 squared'&nbsp;= 5^2&nbsp;= 5 * 5 = 25. "	"Fill this part of the Pythagorean equation by entering 'a^2' (square of 'a'). Hint: to square a number, multiply the number by itself! For example: '5 squared'&nbsp;= 5^2&nbsp;= 5 * 5 = 25. "	"Fill this part of the Pythagorean equation by entering 'a^2' (square of 'a'). Hint: to square a number, multiply the number by itself! For example: '5 squared'&nbsp;= 5^2&nbsp;= 5 * 5 = 25. "
%(6773441277398814773)%	-	"In the Pythagorean theorem, 'b' represents the length of one of the 2 legs of a right triangle. Legs are perpendicular pair of sides on a right triangle."	"In the Pythagorean theorem, 'b' represents the length of one of the 2 legs of a right triangle. Legs are perpendicular pair of sides on a right triangle."	"In the Pythagorean theorem, 'b' represents the length of one of the 2 legs of a right triangle. Legs are perpendicular pair of sides on a right triangle."	"In the Pythagorean theorem, 'b' represents the length of one of the 2 legs of a right triangle. Select the value of 'b' from the table you filled above, and square its value to get 'b^2'."	"In the Pythagorean theorem, 'b' represents the length of one of the 2 legs of a right triangle. Legs are perpendicular pair of sides on a right triangle."	"In the Pythagorean theorem, 'b' represents the length of one of the 2 legs of a right triangle. Select the value of 'b' from the table you filled above, and square its value to get 'b^2'."	"<%=ifThen(hasValue(q1a,q1c),""Look at the table above; what is still missing? The empty area on the table is for 'b', so you cannot enter 'b^2' by squaring 'b'! You must solve for 'b^2' instead. How would you solve for it knowing that 'a^2' + 'b^2'&nbsp;= 'c^2'?"",""In the Pythagorean theorem, 'b' represents the length of one of the 2 legs of a right triangle. Select the value of 'b' from the table you filled above, and square its value to get 'b^2'."")%>"	"In the Pythagorean theorem, 'b' represents the length of one of the 2 legs of a right triangle. Legs are perpendicular pair of sides on a right triangle."	"<%=ifThen(hasValue(q1a,q1c),""Look at the table above; what is still missing? The empty area on the table is for 'b', so you cannot enter 'b^2' by squaring 'b'! You must solve for 'b^2' instead. How would you solve for it knowing that 'a^2' + 'b^2'&nbsp;= 'c^2'?"",""In the Pythagorean theorem, 'b' represents the length of one of the 2 legs of a right triangle. Select the value of 'b' from the table you filled above, and square its value to get 'b^2'."")%>"	"<%=ifThen(hasValue(q1a,q1c),""Look at the table above; what is still missing? The empty area on the table is for 'b', so you cannot enter 'b^2' by squaring 'b'! You must solve for 'b^2' instead. How would you solve for it knowing that 'a^2' + 'b^2'&nbsp;= 'c^2'?"",""In the Pythagorean theorem, 'b' represents the length of one of the 2 legs of a right triangle. Select the value of 'b' from the table you filled above, and square its value to get 'b^2'."")%>"	"In the Pythagorean theorem, 'b' represents the length of one of the 2 legs of a right triangle. Select the value of 'b' from the table you filled above, and square its value to get 'b^2'."	"In the Pythagorean theorem, 'b' represents the length of one of the 2 legs of a right triangle. Legs are perpendicular pair of sides on a right triangle."	"In the Pythagorean theorem, 'b' represents the length of one of the 2 legs of a right triangle. Select the value of 'b' from the table you filled above, and square its value to get 'b^2'."	"<%=ifThen(hasValue(q1a,q1c),""Look at the table above; what is still missing? The empty area on the table is for 'b', so you cannot enter 'b^2' by squaring 'b'! You must solve for 'b^2' instead. How would you solve for it knowing that 'a^2' + 'b^2'&nbsp;= 'c^2'?"",""In the Pythagorean theorem, 'b' represents the length of one of the 2 legs of a right triangle. Select the value of 'b' from the table you filled above, and square its value to get 'b^2'."")%>"	"In the Pythagorean theorem, 'b' represents the length of one of the 2 legs of a right triangle. Select the value of 'b' from the table you filled above, and square its value to get 'b^2'."
%(372651954792125289)%	You entered the length of 'b'. The Pythagorean equation needs 'b^2' ('b' squared). What is the square of '4'?	You entered the length of 'b'. The Pythagorean equation needs 'b^2' ('b' squared). What is the square of '8'?	You entered the length of 'b'. The Pythagorean equation needs 'b^2' ('b' squared). What is the square of '22.5'?	You entered the length of 'b'. The Pythagorean equation needs 'b^2' ('b' squared). What is the square of '60'?	You entered the length of 'b'. The Pythagorean equation needs 'b^2' ('b' squared). What is the square of '12'?	You entered the length of 'b'. The Pythagorean equation needs 'b^2' ('b' squared). What is the square of '24'?	You entered the length of 'b'. The Pythagorean equation needs 'b^2' ('b' squared). What is the square of '4'?	You entered the length of 'b'. The Pythagorean equation needs 'b^2' ('b' squared). What is the square of '3'?	You entered the length of 'b'. The Pythagorean equation needs 'b^2' ('b' squared). What is the square of '1.5'?	You entered the length of 'b'. The Pythagorean equation needs 'b^2' ('b' squared). What is the square of '8'?	You entered the length of 'b'. The Pythagorean equation needs 'b^2' ('b' squared). What is the square of '7'?	You entered the length of 'b'. The Pythagorean equation needs 'b^2' ('b' squared). What is the square of '40'?	You entered the length of 'b'. The Pythagorean equation needs 'b^2' ('b' squared). What is the square of '4'?	You entered the length of 'b'. The Pythagorean equation needs 'b^2' ('b' squared). What is the square of '6'?	You entered the length of 'b'. The Pythagorean equation needs 'b^2' ('b' squared). What is the square of '5'?	You entered the length of 'b'. The Pythagorean equation needs 'b^2' ('b' squared). What is the square of '9'?
%(-4691503284582703515)%	-	"<%=ifThen(hasValue(cc),""Take the square root by entering the following expression into the highlighted area: |100. (If you are not sure how to enter the vertical bar, '|', put your mouse over the yellow square root icon)."",""Complete the Pythagorean theorem worksheet to solve for the third, unknown side. If you need more help, try asking for the hints when you are on the worksheet."")%>"	"<%=ifThen(hasValue(cc),""Take the square root by entering the following expression into the highlighted area: |702.25. (If you are not sure how to enter the vertical bar, '|', put your mouse over the yellow square root icon)."",""Complete the Pythagorean theorem worksheet to solve for the third, unknown side. If you need more help, try asking for the hints when you are on the worksheet."")%>"	"<%=ifThen(hasValue(cc),""Take the square root by entering the following expression into the highlighted area: |7569. (If you are not sure how to enter the vertical bar, '|', put your mouse over the yellow square root icon)."",""Complete the Pythagorean theorem worksheet to solve for the third, unknown side. If you need more help, try asking for the hints when you are on the worksheet."")%>"	Enter 13 into the highlighted area.	"<%=ifThen(hasValue(cc),""Take the square root by entering the following expression into the highlighted area: |676. (If you are not sure how to enter the vertical bar, '|', put your mouse over the yellow square root icon)."",""Complete the Pythagorean theorem worksheet to solve for the third, unknown side. If you need more help, try asking for the hints when you are on the worksheet."")%>"	Enter 8.5 into the highlighted area.	Enter 5 into the highlighted area.	"<%=ifThen(hasValue(cc),""Take the square root by entering the following expression into the highlighted area: |6.25. (If you are not sure how to enter the vertical bar, '|', put your mouse over the yellow square root icon)."",""Complete the Pythagorean theorem worksheet to solve for the third, unknown side. If you need more help, try asking for the hints when you are on the worksheet."")%>"	Enter 17 into the highlighted area.	Enter 25 into the highlighted area.	Enter 58 into the highlighted area.	"<%=ifThen(hasValue(cc),""Take the square root by entering the following expression into the highlighted area: |25. (If you are not sure how to enter the vertical bar, '|', put your mouse over the yellow square root icon)."",""Complete the Pythagorean theorem worksheet to solve for the third, unknown side. If you need more help, try asking for the hints when you are on the worksheet."")%>"	Enter 6.5 into the highlighted area.	Enter 13 into the highlighted area.	"<%=ifThen(hasValue(cc),""Take the square root by entering the following expression into the highlighted area: |106. (If you are not sure how to enter the vertical bar, '|', put your mouse over the yellow square root icon)."",""Complete the Pythagorean theorem worksheet to solve for the third, unknown side. If you need more help, try asking for the hints when you are on the worksheet."")%>"
%(5144891665380048475)%	You entered the length of 'c'. The Pythagorean equation needs 'c^2' ('c' squared). What is the square of '5'?	You entered the length of 'c'. The Pythagorean equation needs 'c^2' ('c' squared). What is the square of '10'?	You entered the length of 'c'. The Pythagorean equation needs 'c^2' ('c' squared). What is the square of '26.5'?	You entered the length of 'c'. The Pythagorean equation needs 'c^2' ('c' squared). What is the square of '87'?	You entered the length of 'c'. The Pythagorean equation needs 'c^2' ('c' squared). What is the square of '13'?	You entered the length of 'c'. The Pythagorean equation needs 'c^2' ('c' squared). What is the square of '26'?	You entered the length of 'c'. The Pythagorean equation needs 'c^2' ('c' squared). What is the square of '8.5'?	You entered the length of 'c'. The Pythagorean equation needs 'c^2' ('c' squared). What is the square of '5'?	You entered the length of 'c'. The Pythagorean equation needs 'c^2' ('c' squared). What is the square of '2.5'?	You entered the length of 'c'. The Pythagorean equation needs 'c^2' ('c' squared). What is the square of '17'?	You entered the length of 'c'. The Pythagorean equation needs 'c^2' ('c' squared). What is the square of '25'?	You entered the length of 'c'. The Pythagorean equation needs 'c^2' ('c' squared). What is the square of '58'?	You entered the length of 'c'. The Pythagorean equation needs 'c^2' ('c' squared). What is the square of '5'?	You entered the length of 'c'. The Pythagorean equation needs 'c^2' ('c' squared). What is the square of '6.5'?	You entered the length of 'c'. The Pythagorean equation needs 'c^2' ('c' squared). What is the square of '13'?	You entered the length of 'c'. The Pythagorean equation needs 'c^2' ('c' squared). What is the square of '106^0.5'?
%(-4691500284578703596)%	-	"<%=ifThen(hasValue(cc), ""Good job completing the Pythagorean theorem worksheet! Now, all you have to do is take the square root of the term you solved for, and enter it into the highlighted area."",""In this area, enter the length of the hypotenuse."")%>"	"<%=ifThen(hasValue(cc), ""Good job completing the Pythagorean theorem worksheet! Now, all you have to do is take the square root of the term you solved for, and enter it into the highlighted area."",""In this area, enter the length of the hypotenuse."")%>"	"<%=ifThen(hasValue(cc), ""Good job completing the Pythagorean theorem worksheet! Now, all you have to do is take the square root of the term you solved for, and enter it into the highlighted area."",""In this area, enter the length of the hypotenuse."")%>"	"In this area, enter the length of hypotenuse 'c'."	"<%=ifThen(hasValue(cc), ""Good job completing the Pythagorean theorem worksheet! Now, all you have to do is take the square root of the term you solved for, and enter it into the highlighted area."",""In this area, enter the length of the hypotenuse."")%>"	"In this area, enter the distance Sam ran to get back to her car."	"In this area, enter the distance Sam ran to get back to her car."	"<%=ifThen(hasValue(cc), ""Good job completing the Pythagorean theorem worksheet! Now, all you have to do is take the square root of the term you solved for, and enter it into the highlighted area."",""In this area, enter the length of the hypotenuse."")%>"	"In this area, enter the length of hypotenuse 'c'."	"In this area, enter the distance from the plane to the airport."	"In this area, enter the length of the anchor chain."	"<%=ifThen(hasValue(cc), ""Good job completing the Pythagorean theorem worksheet! Now, all you have to do is take the square root of the term you solved for, and enter it into the highlighted area."",""In this area, enter the length of the hypotenuse."")%>"	"In this area, enter the distance driven on Lauria Way."	"In this area, enter the distance driven on Lauria Way."	"<%=ifThen(hasValue(cc), ""Good job completing the Pythagorean theorem worksheet! Now, all you have to do is take the square root of the term you solved for, and enter it into the highlighted area."",""In this area, enter the length of the hypotenuse."")%>"
%(-5242966623515073497)%	-	"<%=ifThen(hasValue(aa,bb),""Good job filling out the values for both 'a^2' and 'b^2' correctly. If 'a^2' + 'b^2'&nbsp;= 'c^2', how would you find the value of 'c^2'?"",""You can only solve for 1 unknown in 1 equation. This means you CANNOT solve for 'c^2' if you do not know the values of the other terms, 'a^2' and 'b^2'. Fill them in and then come back to this area."")%>"	"<%=ifThen(hasValue(aa,bb),""Good job filling out the values for both 'a^2' and 'b^2' correctly. If 'a^2' + 'b^2'&nbsp;= 'c^2', how would you find the value of 'c^2'?"",""You can only solve for 1 unknown in 1 equation. This means you CANNOT solve for 'c^2' if you do not know the values of the other terms, 'a^2' and 'b^2'. Fill them in and then come back to this area."")%>"	"<%=ifThen(hasValue(aa,bb),""Good job filling out the values for both 'a^2' and 'b^2' correctly. If 'a^2' + 'b^2'&nbsp;= 'c^2', how would you find the value of 'c^2'?"",""You can only solve for 1 unknown in 1 equation. This means you CANNOT solve for 'c^2' if you do not know the values of the other terms, 'a^2' and 'b^2'. Fill them in and then come back to this area."")%>"	"When in doubt, try to match the worksheet's boxes with the table's; 'c^2' is the right-box of the worksheet, and 'c' is the right-box of the table above. Get the value of 'c^2' by squaring the number you entered in the right-box of the table."	"<%=ifThen(hasValue(aa,bb),""Good job filling out the values for both 'a^2' and 'b^2' correctly. If 'a^2' + 'b^2'&nbsp;= 'c^2', how would you find the value of 'c^2'?"",""You can only solve for 1 unknown in 1 equation. This means you CANNOT solve for 'c^2' if you do not know the values of the other terms, 'a^2' and 'b^2'. Fill them in and then come back to this area."")%>"	"When in doubt, try to match the worksheet's boxes with the table's; 'c^2' is the right-box of the worksheet, and 'c' is the right-box of the table above. Get the value of 'c^2' by squaring the number you entered in the right-box of the table."	"When in doubt, try to match the worksheet's boxes with the table's; 'c^2' is the right-box of the worksheet, and 'c' is the right-box of the table above. Get the value of 'c^2' by squaring the number you entered in the right-box of the table."	"<%=ifThen(hasValue(aa,bb),""Good job filling out the values for both 'a^2' and 'b^2' correctly. If 'a^2' + 'b^2'&nbsp;= 'c^2', how would you find the value of 'c^2'?"",""You can only solve for 1 unknown in 1 equation. This means you CANNOT solve for 'c^2' if you do not know the values of the other terms, 'a^2' and 'b^2'. Fill them in and then come back to this area."")%>"	"When in doubt, try to match the worksheet's boxes with the table's; 'c^2' is the right-box of the worksheet, and 'c' is the right-box of the table above. Get the value of 'c^2' by squaring the number you entered in the right-box of the table."	"When in doubt, try to match the worksheet's boxes with the table's; 'c^2' is the right-box of the worksheet, and 'c' is the right-box of the table above. Get the value of 'c^2' by squaring the number you entered in the right-box of the table."	"When in doubt, try to match the worksheet's boxes with the table's; 'c^2' is the right-box of the worksheet, and 'c' is the right-box of the table above. Get the value of 'c^2' by squaring the number you entered in the right-box of the table."	"<%=ifThen(hasValue(aa,bb),""Good job filling out the values for both 'a^2' and 'b^2' correctly. If 'a^2' + 'b^2'&nbsp;= 'c^2', how would you find the value of 'c^2'?"",""You can only solve for 1 unknown in 1 equation. This means you CANNOT solve for 'c^2' if you do not know the values of the other terms, 'a^2' and 'b^2'. Fill them in and then come back to this area."")%>"	"When in doubt, try to match the worksheet's boxes with the table's; 'c^2' is the right-box of the worksheet, and 'c' is the right-box of the table above. Get the value of 'c^2' by squaring the number you entered in the right-box of the table."	"When in doubt, try to match the worksheet's boxes with the table's; 'c^2' is the right-box of the worksheet, and 'c' is the right-box of the table above. Get the value of 'c^2' by squaring the number you entered in the right-box of the table."	"<%=ifThen(hasValue(aa,bb),""Good job filling out the values for both 'a^2' and 'b^2' correctly. If 'a^2' + 'b^2'&nbsp;= 'c^2', how would you find the value of 'c^2'?"",""You can only solve for 1 unknown in 1 equation. This means you CANNOT solve for 'c^2' if you do not know the values of the other terms, 'a^2' and 'b^2'. Fill them in and then come back to this area."")%>"
%(2766784310233882183)%	You've done everything correctly. Click on the 'done' button to move on!	You've done everything correctly. Click on the 'done' button to move on!	You've done everything correctly. Click on the 'done' button to move on!	You've done everything correctly. Click on the 'done' button to move on!	You've done everything correctly. Click on the 'done' button to move on!	You've done everything correctly. Click on the 'done' button to move on!	You've done everything correctly. Click on the 'done' button to move on!	You've done everything correctly. Click on the 'done' button to move on!	You've done everything correctly. Click on the 'done' button to move on!	You've done everything correctly. Click on the 'done' button to move on!	You've done everything correctly. Click on the 'done' button to move on!	You've done everything correctly. Click on the 'done' button to move on!	You've done everything correctly. Click on the 'done' button to move on!	You've done everything correctly. Click on the 'done' button to move on!	You've done everything correctly. Click on the 'done' button to move on!	You've done everything correctly. Click on the 'done' button to move on!
